session_id,hold_ms,displacement,timestamp_ms
session_1,78.0,0.0,1777554195226.0
session_1,76.0,0.0,1777554195951.0
session_1,105.0,0.0,1777554196930.0
session_1,100.0,2.8284271247461903,1777554197875.0
session_1,105.0,0.0,1777554198872.0
session_1,83.0,0.0,1777554199773.0
session_1,77.0,0.0,1777554200669.0
session_1,95.0,0.0,1777554201698.0
session_1,84.0,0.0,1777554202577.0
session_1,84.0,0.0,1777554203501.0
session_1,84.0,0.0,1777554204452.0
session_1,77.0,0.0,1777554204849.0
session_1,100.0,0.0,1777554206940.0
session_1,83.0,0.0,1777554207908.0
session_1,94.0,0.0,1777554208293.0
session_1,93.0,0.0,1777554208772.0
session_1,80.0,0.0,1777554209890.0
session_1,94.0,0.0,1777554210280.0
session_1,94.0,0.0,1777554364256.0
session_1,83.0,0.0,1777554364601.0
session_1,77.0,0.0,1777554364885.0
session_1,111.0,0.0,1777554365186.0
session_1,70.0,0.0,1777554365554.0
session_1,87.0,0.0,1777554366584.0
session_1,81.0,0.0,1777554371131.0
session_1,65.0,0.0,1777554371608.0
session_1,77.0,0.0,1777554372103.0
session_1,71.0,0.0,1777554372621.0
session_1,110.0,0.0,1777554373105.0
session_1,77.0,0.0,1777554375525.0
session_1,93.0,0.0,1777554375910.0
session_1,99.0,0.0,1777554376416.0
session_1,94.0,0.0,1777554377339.0
session_1,82.0,0.0,1777554377640.0
session_1,64.0,0.0,1777554378576.0
session_1,74.0,0.0,1777554378950.0
session_1,82.0,0.0,1777554379955.0
session_1,70.0,0.0,1777554380290.0
session_1,97.0,0.0,1777554380625.0
session_1,81.0,0.0,1777554381581.0
session_1,91.0,0.0,1777554382492.0
session_1,77.0,0.0,1777554383922.0
session_1,106.0,0.0,1777554384684.0
session_1,110.0,0.0,1777554386126.0
session_1,99.0,0.0,1777554387907.0
session_1,89.0,0.0,1777554388746.0
session_1,95.0,0.0,1777554390126.0
session_1,88.0,0.0,1777554390455.0
session_1,72.0,0.0,1777554495086.0
session_1,77.0,0.0,1777554496260.0
session_1,69.0,0.0,1777554497493.0
session_1,86.0,0.0,1777554498566.0
session_1,89.0,0.0,1777554499410.0
session_1,84.0,0.0,1777554500244.0
session_1,77.0,0.0,1777554501208.0
session_1,99.0,0.0,1777554502172.0
session_1,77.0,0.0,1777554503472.0
session_1,97.0,0.0,1777554503942.0
session_1,72.0,0.0,1777554504229.0
session_1,66.0,0.0,1777898371360.0
session_1,89.0,0.0,1777898371699.0
session_1,59.0,0.0,1777898372073.0
session_1,55.0,0.0,1777898372367.0
session_1,97.0,0.0,1777898372636.0
session_1,88.0,0.0,1777898373124.0
session_1,83.0,0.0,1777898373402.0
session_1,58.0,0.0,1777898373822.0
session_1,55.0,0.0,1777898374137.0
session_1,88.0,24.20743687382041,1777898375255.0
session_1,95.0,0.0,1777898375510.0
session_1,73.0,0.0,1777898376495.0
session_1,66.0,0.0,1777898377770.0
session_1,61.0,0.0,1777898378087.0
session_1,88.0,0.0,1777898379212.0
session_1,60.0,0.0,1777898379479.0
session_1,66.0,0.0,1777898380369.0
session_1,78.0,0.0,1777898380630.0
session_1,116.0,0.0,1777898381944.0
session_1,104.0,0.0,1777898382317.0
session_1,88.0,0.0,1777898383419.0
session_1,83.0,0.0,1777898383752.0
session_1,72.0,0.0,1777898383964.0
session_1,101.0,0.0,1777898384214.0
session_1,33.0,0.0,1777898385293.0
session_1,65.0,0.0,1777898385935.0
session_1,63.0,0.0,1777898386863.0
session_1,83.0,0.0,1777898387086.0
session_1,84.0,0.0,1777898388543.0
session_1,78.0,0.0,1777898388738.0
session_1,83.0,0.0,1777898390074.0
session_1,100.0,0.0,1777898390719.0
session_1,66.0,0.0,1777898390987.0
session_1,55.0,0.0,1777898394809.0
session_1,78.0,0.0,1777898395086.0
session_1,88.0,0.0,1777898395254.0
session_2,55.0,0.0,1778143125963.0
session_2,69.0,0.0,1778143126356.0
session_2,60.0,0.0,1778143126810.0
session_2,59.0,0.0,1778143127139.0
session_2,92.0,0.0,1778143127457.0
session_2,48.0,0.0,1778143127718.0
session_2,61.0,0.0,1778143128723.0
session_2,42.0,0.0,1778143128976.0
session_2,49.0,0.0,1778143129297.0
session_2,66.0,0.0,1778143129775.0
session_2,101.0,0.0,1778143130782.0
session_2,69.0,0.0,1778143131141.0
session_2,52.0,0.0,1778143131372.0
session_2,55.0,0.0,1778143145705.0
session_2,72.0,0.0,1778143146016.0
session_2,66.0,0.0,1778143169808.0
session_2,71.0,0.0,1778143170059.0
session_2,50.0,0.0,1778143171188.0
session_2,44.0,0.0,1778143171405.0
session_2,50.0,0.0,1778143171639.0
session_2,72.0,0.0,1778143186864.0
session_2,49.0,0.0,1778143187137.0
session_2,60.0,0.0,1778143188523.0
session_2,71.0,0.0,1778143188857.0
session_2,60.0,0.0,1778143201205.0
session_2,71.0,0.0,1778143202830.0
session_2,77.0,0.0,1778143206842.0
session_2,88.0,0.0,1778143207938.0
session_2,77.0,0.0,1778143211683.0
session_2,54.0,0.0,1778143211962.0
session_2,66.0,0.0,1778143212256.0
session_2,61.0,0.0,1778143213269.0
session_2,55.0,0.0,1778143213575.0
session_2,105.0,0.0,1778143214076.0
session_2,55.0,0.0,1778143258956.0
session_2,72.0,0.0,1778143259228.0
session_2,66.0,0.0,1778143260297.0
session_2,66.0,0.0,1778143260531.0
session_2,95.0,0.0,1778143260876.0
session_2,73.0,0.0,1778143269718.0
session_2,54.0,0.0,1778143270058.0
session_2,99.0,0.0,1778143270397.0
session_2,72.0,0.0,1778143272589.0
session_2,76.0,0.0,1778143272941.0
session_2,66.0,0.0,1778143273224.0
session_2,99.0,0.0,1778143273653.0
session_2,111.0,0.0,1778143274003.0
session_2,71.0,0.0,1778143274426.0
session_2,88.0,0.0,1778143274933.0
session_2,82.0,0.0,1778143275361.0
session_2,80.0,0.0,1778143275764.0
session_2,71.0,0.0,1778143276124.0
session_2,105.0,0.0,1778143276418.0
session_2,82.0,0.0,1778143276708.0
session_2,74.0,0.0,1778143277111.0
session_2,80.0,0.0,1778143277500.0
session_2,76.0,0.0,1778143277860.0
session_2,58.0,0.0,1778143278329.0
session_2,58.0,0.0,1778143280371.0
session_2,75.0,0.0,1778143280677.0
session_2,100.0,0.0,1778143281070.0
session_2,100.0,0.0,1778143281376.0
session_2,54.0,0.0,1778143281755.0
session_2,77.0,0.0,1778143282155.0
session_2,83.0,0.0,1778143282478.0
session_2,71.0,0.0,1778143283836.0
session_2,72.0,0.0,1778143284091.0
session_2,82.0,0.0,1778143284521.0
session_2,82.0,4.242640687119285,1778143284905.0
session_2,94.0,0.0,1778143285121.0
session_2,89.0,2.23606797749979,1778143285427.0
session_2,83.0,0.0,1778143286529.0
session_2,77.0,0.0,1778143288694.0
session_2,80.0,0.0,1778143292417.0
session_2,82.0,0.0,1778143292710.0
session_2,81.0,0.0,1778143294475.0
session_2,82.0,0.0,1778143294925.0
session_2,60.0,0.0,1778143300737.0
session_2,66.0,0.0,1778143301009.0
session_2,67.0,0.0,1778143302327.0
session_2,94.0,0.0,1778143302595.0
session_2,65.0,0.0,1778143303814.0
session_2,81.0,0.0,1778143304155.0
session_2,71.0,0.0,1778143305834.0
session_2,91.0,0.0,1778143306187.0
session_2,75.0,0.0,1778143313777.0
session_2,44.0,0.0,1778143316242.0
session_2,67.0,0.0,1778143316480.0
session_2,61.0,0.0,1778143317461.0
session_2,64.0,0.0,1778143317791.0
session_2,83.0,0.0,1778143318929.0
session_2,88.0,0.0,1778143319191.0
session_2,70.0,0.0,1778143319543.0
session_2,71.0,0.0,1778143319865.0
session_2,60.0,0.0,1778143321256.0
session_2,69.0,0.0,1778143321609.0
session_2,77.0,0.0,1778143325802.0
session_2,61.0,0.0,1778143332956.0
session_2,77.0,0.0,1778143333351.0
session_2,66.0,0.0,1778143337578.0
session_2,44.0,0.0,1778143342321.0
session_2,55.0,0.0,1778143343384.0
session_2,71.0,0.0,1778143343841.0
session_2,49.0,0.0,1778143350385.0
session_2,66.0,0.0,1778143351353.0
session_2,66.0,0.0,1778143351592.0
session_2,66.0,0.0,1778143352449.0
session_2,67.0,0.0,1778143352688.0
session_2,60.0,0.0,1778143354342.0
session_2,61.0,0.0,1778143356550.0
session_2,65.0,0.0,1778143357420.0
session_2,76.0,0.0,1778143357765.0
session_2,66.0,0.0,1778143358671.0
session_2,71.0,1.0,1778143358994.0
session_2,74.0,0.0,1778143360109.0
session_2,83.0,2.23606797749979,1778143360379.0
session_2,78.0,0.0,1778143361942.0
session_2,82.0,0.0,1778143362333.0
session_2,53.0,0.0,1778143363469.0
session_2,55.0,0.0,1778143363824.0
session_2,77.0,0.0,1778143364697.0
session_2,69.0,0.0,1778143365039.0
session_2,69.0,0.0,1778143365262.0
session_2,67.0,0.0,1778143366778.0
session_2,72.0,0.0,1778143367029.0
session_2,69.0,0.0,1778143368985.0
session_2,95.0,0.0,1778143369266.0
session_2,71.0,0.0,1778143370680.0
session_2,89.0,0.0,1778143370941.0
session_2,66.0,0.0,1778143371848.0
session_2,66.0,0.0,1778143372160.0
session_3,42.0,0.0,1777802095839.0
session_3,71.0,0.0,1777802096861.0
session_3,61.0,0.0,1777802099999.0
session_3,89.0,0.0,1777802101329.0
session_3,75.0,0.0,1777802102295.0
session_3,65.0,0.0,1777802103372.0
session_3,61.0,0.0,1777802104078.0
session_3,88.0,0.0,1777802106082.0
session_3,122.0,0.0,1777802107946.0
session_3,105.0,0.0,1777802109649.0
session_3,107.0,0.0,1777802111127.0
session_3,100.0,0.0,1777802112080.0
session_3,74.0,0.0,1777802114165.0
session_3,77.0,0.0,1777802115687.0
session_3,95.0,0.0,1777802118157.0
session_3,88.0,0.0,1777802120044.0
session_3,69.0,0.0,1777802122083.0
session_3,102.0,0.0,1777802123981.0
session_3,105.0,0.0,1777802124551.0
session_3,97.0,0.0,1777802127403.0
session_3,49.0,0.0,1777802203552.0
session_3,52.0,0.0,1777802204334.0
session_3,89.0,0.0,1777802204987.0
