owner_id,auc_inertial,auc_touch,auc_fusion,eer_inertial,eer_fusion,far_at_eer,frr_at_eer,thr_fusion,fusion_w,val_auc_fused,has_touch,retry_attempts,catastrophic,run,seed,elapsed_s
user1,0.9978729133648504,1.0,1.0,0.015686751383230984,0.0,0.0,0.0,0.47831618785858154,0.3,1.0,True,0,False,0,42,8.49
user10,0.9950235923116885,1.0,0.999918938609507,0.029523692609869874,0.0036231884057971175,0.0027620918242081834,0.003623188405796773,0.24826378766817234,0.22,1.0,True,0,False,0,42,6.23
user12,0.9662201047778957,1.0,1.0,0.10875576036866363,0.0,0.0,0.0,0.44941556453704834,0.3,1.0,True,0,False,0,42,9.82
user13,0.9956759279719174,1.0,1.0,0.0270927199430875,0.0,0.0,0.0,0.34911423921585083,0.16,1.0,True,0,False,0,42,5.77
user14,0.9926611474395334,1.0,0.9999999999999999,0.043020193151887653,0.0,0.0,0.0,0.3838553726673126,0.16,1.0,True,0,False,0,42,9.64
user15,0.9884795103138875,0.71144309067532,0.823851445736687,0.04139228598306677,0.17454627607500564,0.1744933570072848,0.177798682972702,0.06340504991487751,0.04,1.0,True,0,False,0,42,7.47
user16,0.9858390869996229,1.0,1.0,0.06545217184903869,0.0,0.0,0.0,0.304646372795105,0.26,1.0,True,0,False,0,42,6.88
user18,0.9976030416006076,0.939001189060642,0.9601220851499537,0.02777777777777779,0.05760998810939358,0.057609988109393245,0.05902777777776753,0.2948637469770225,0.16,1.0,True,0,False,0,42,5.93
user19,0.9810344423069167,1.0,1.0,0.07870837537840565,0.0,0.0,0.0,0.4290401339530945,0.14,0.9970693233145425,True,0,False,0,42,7.39
user2,0.9979089902774337,0.8748451820658906,0.9984883418125925,0.0218602922962596,0.013621794871794823,0.013747832548922381,0.013621794871793779,0.19905922233676304,0.22,0.9955999464871224,True,0,False,0,42,6.6
user20,0.9780194543924928,0.6713920589633856,0.9138227960223324,0.05908226343319068,0.09284355682358536,0.09284355682358482,0.0944055944055779,0.18450830951935326,0.2,0.9916515781747002,True,0,False,0,42,7.61
user21,0.9583747406491001,1.0,0.9999564898922129,0.12365336805966616,0.003906712442287202,0.00390671244228718,0.003984063745019127,0.44608495781813146,0.42,0.9999999999999999,True,0,False,0,42,5.97
user3,0.9803320504569819,1.0,0.9921001786131068,0.07801066600520898,0.049606299212598404,0.04960932655339173,0.04960629921259452,0.4605870371088439,0.5,1.0,True,0,False,0,42,9.13
user4,0.9877957518921805,0.9305237062286954,0.999174884198477,0.04753641152773474,0.01753951038115897,0.017539510381158863,0.018239492466295144,0.4805882019649888,0.36,1.0,True,0,False,0,42,7.57
user5,0.986372726937142,1.0,0.9997961968656116,0.0536062378167641,0.005847953216374324,0.005558949297495385,0.005847953216373699,0.4709403443406198,0.5,1.0,True,0,False,0,42,8.46
user6,0.998972453679681,1.0,0.999987848757092,0.014760147601476037,0.0018450184501844769,0.0017206597840275205,0.0018450184501841614,0.5151238596893911,0.5,1.0,True,0,False,0,42,5.52
