owner_id,auc_inertial,auc_touch,auc_fusion,eer_inertial,eer_fusion,far_at_eer,frr_at_eer,thr_fusion,fusion_w,val_auc_fused,has_touch,retry_attempts,catastrophic,run,seed,elapsed_s
user1,0.9516639413976478,1.0,0.9999999999999999,0.11978221415607981,0.0,0.0,0.0,0.4406375288963318,0.24,1.0,True,0,False,0,42,6.6
user10,0.9905423373416209,0.9111539924987769,0.9949809821792299,0.040590405904059046,0.030442804428044257,0.030222318856335112,0.03044280442804147,0.3972848301299769,0.24,1.0,True,0,False,0,42,8.23
user12,0.9205440623738079,1.0,0.9999012508229098,0.15421830832789737,0.0061426397042835396,0.0061426397042835075,0.0064516129032252114,0.3162719554167179,0.3,1.0,True,0,False,0,42,7.73
user13,0.9848605251567589,1.0,0.9990339480058879,0.07175732217573222,0.0166204986149584,0.01652719665271958,0.016620498614953846,0.42277866931338076,0.46,0.9873386324943243,True,0,False,0,42,6.73
user14,0.9875047973969173,1.0,0.9999999999999999,0.0549558390578999,0.0,0.0,0.0,0.4789033830165863,0.14,0.9985890388936868,True,0,False,0,42,7.55
user15,0.941179492532721,1.0,1.0,0.12442817932296435,0.0,0.0,0.0,0.1599999964237213,0.0,0.9999999999999999,True,0,False,0,42,7.73
user16,0.9886973816431573,1.0,1.0,0.05175054126841633,0.0,0.0,0.0,0.3639823794364929,0.2,0.9964980172680485,True,0,False,0,42,5.83
user18,0.9995275291035505,1.0,0.9999984492701535,0.007883180784085498,0.00031744352150679856,0.00031744352150679694,0.0017241379310341854,0.5062209189389094,0.44,1.0,True,0,False,0,42,6.97
user19,0.9959190537931363,1.0,1.0,0.03031903655186985,0.0,0.0,0.0,0.4987780749797821,0.16,1.0,True,0,False,0,42,6.09
user2,0.997805865982547,1.0,0.997805865982547,0.020527698708123494,0.020527698708123494,0.020527698708123383,0.020610057708159883,0.8515637325449639,1.0,0.9878936442343343,True,0,False,0,42,8.34
user20,0.8484560022506011,0.9734840481724065,0.9333442245798114,0.26047358834244083,0.13728079442214242,0.1372807944221417,0.13843351548267058,0.20981014625124275,0.38,1.0,True,0,False,0,42,6.29
user21,0.9830308881970407,1.0,0.9999487796220146,0.05806417619474156,0.004373254649876179,0.004373254649876156,0.00597609561752869,0.48615459486244667,0.46,1.0,True,0,False,0,42,7.76
