session_id,hold_ms,displacement,timestamp_ms
session_1,83.0,0.0,1777650010793.0
session_1,66.0,0.0,1777650011009.0
session_1,116.0,0.0,1777650011592.0
session_1,83.0,46.22769732530488,1777650011842.0
session_1,100.0,24.758836806279895,1777650012092.0
session_1,83.0,23.345235059857504,1777650012308.0
session_1,100.0,0.0,1777650012457.0
session_1,116.0,0.0,1777650012574.0
session_1,100.0,0.0,1777650012690.0
session_1,133.0,14.7648230602334,1777650013157.0
session_1,150.0,17.0,1777650013423.0
session_1,134.0,40.45985664828782,1777650013672.0
session_1,116.0,22.47220505424423,1777650014105.0
session_1,84.0,0.0,1777650014571.0
session_1,116.0,29.154759474226502,1777650014805.0
session_1,100.0,0.0,1777650015004.0
session_1,99.0,0.0,1777650015886.0
session_1,83.0,0.0,1777650016119.0
session_1,100.0,0.0,1777650016318.0
session_1,117.0,0.0,1777650016501.0
session_1,100.0,0.0,1777650016701.0
session_1,99.0,0.0,1777650016901.0
session_1,82.0,0.0,1777650017101.0
session_1,83.0,0.0,1777650017300.0
session_1,100.0,0.0,1777650017683.0
session_1,49.0,0.0,1777650018083.0
session_1,66.0,88.02272433866155,1777650018299.0
session_1,50.0,0.0,1777650018515.0
session_1,66.0,0.0,1777650018815.0
session_1,66.0,0.0,1777650018948.0
session_1,67.0,0.0,1777650019014.0
session_1,49.0,0.0,1777650019165.0
session_1,66.0,0.0,1777650019231.0
session_1,49.0,0.0,1777650019381.0
session_1,66.0,0.0,1777650019464.0
session_1,50.0,0.0,1777650019597.0
session_1,67.0,0.0,1777650019680.0
session_1,66.0,0.0,1777650019814.0
session_1,66.0,0.0,1777650019897.0
session_1,50.0,103.16006979447037,1777650020080.0
session_1,66.0,0.0,1777650020263.0
session_1,67.0,0.0,1777650020329.0
session_1,84.0,0.0,1777650020479.0
session_1,66.0,0.0,1777650020579.0
session_1,83.0,0.0,1777650020712.0
session_1,66.0,0.0,1777650020812.0
session_1,83.0,0.0,1777650020962.0
session_1,83.0,0.0,1777650021212.0
session_1,50.0,0.0,1777650021561.0
session_1,66.0,0.0,1777650021711.0
session_1,66.0,0.0,1777650021811.0
session_1,83.0,0.0,1777650021944.0
session_1,67.0,0.0,1777650022027.0
session_1,83.0,0.0,1777650022177.0
session_1,66.0,0.0,1777650022293.0
session_1,67.0,0.0,1777650022443.0
session_1,83.0,0.0,1777650022510.0
session_1,50.0,0.0,1777650022676.0
session_1,67.0,0.0,1777650022909.0
session_1,84.0,0.0,1777650022992.0
session_1,83.0,0.0,1777650023126.0
session_1,83.0,0.0,1777650023225.0
session_1,67.0,0.0,1777650023375.0
session_1,67.0,0.0,1777650023458.0
session_1,66.0,0.0,1777650023675.0
session_1,83.0,0.0,1777650024191.0
session_1,83.0,94.92101980067429,1777650025306.0
session_1,49.0,0.0,1777650025473.0
session_1,49.0,0.0,1777650025556.0
session_1,50.0,89.26925562588724,1777650025706.0
session_1,83.0,0.0,1777650026005.0
session_1,83.0,0.0,1777650026138.0
session_1,83.0,0.0,1777650026388.0
session_1,83.0,0.0,1777650026621.0
session_1,67.0,0.0,1777650026737.0
session_1,66.0,0.0,1777650026971.0
session_1,67.0,0.0,1777650036474.0
session_1,66.0,0.0,1777650036707.0
session_1,66.0,0.0,1777650036907.0
session_1,66.0,0.0,1777650037174.0
session_1,67.0,127.3184982632139,1777650038072.0
session_1,66.0,121.03718436910205,1777650038522.0
session_1,83.0,0.0,1777650038672.0
session_1,66.0,0.0,1777650038772.0
session_1,66.0,0.0,1777650039004.0
session_1,67.0,2.23606797749979,1777650039237.0
session_1,50.0,0.0,1777650102053.0
session_1,49.0,0.0,1777650102253.0
session_1,66.0,0.0,1777650102453.0
session_1,49.0,0.0,1777650102686.0
session_1,66.0,0.0,1777650102802.0
session_1,50.0,0.0,1777650102902.0
session_1,83.0,0.0,1777650103002.0
session_1,66.0,0.0,1777650103102.0
session_1,82.0,0.0,1777650103219.0
session_1,66.0,0.0,1777650103318.0
session_1,100.0,0.0,1777650103568.0
session_1,83.0,0.0,1777650103701.0
session_1,83.0,0.0,1777650103817.0
session_1,83.0,0.0,1777650103951.0
session_1,83.0,0.0,1777650104050.0
session_1,84.0,0.0,1777650104283.0
session_1,83.0,0.0,1777650104417.0
session_1,84.0,0.0,1777650104516.0
session_1,66.0,3.1622776601683795,1777650104650.0
session_1,66.0,0.0,1777650104733.0
session_1,83.0,0.0,1777650104833.0
session_1,83.0,0.0,1777650105183.0
session_1,99.0,0.0,1777650105316.0
session_1,116.0,0.0,1777650105449.0
session_1,34.0,0.0,1777650105598.0
session_1,66.0,0.0,1777650106797.0
session_1,66.0,0.0,1777650106880.0
session_1,50.0,0.0,1777650107030.0
session_1,67.0,0.0,1777650107096.0
session_1,84.0,0.0,1777650107229.0
session_1,67.0,0.0,1777650107329.0
session_2,83.0,6.324555320336759,1778051719057.0
session_2,83.0,113.00442469213318,1778051719257.0
session_2,83.0,88.2779700718135,1778051719490.0
session_2,66.0,0.0,1778051719573.0
session_2,83.0,0.0,1778051719789.0
session_2,117.0,208.16579930430456,1778051719922.0
session_2,83.0,0.0,1778051721087.0
session_2,66.0,0.0,1778051721337.0
session_2,50.0,0.0,1778051721587.0
session_2,67.0,0.0,1778051721886.0
session_2,67.0,94.40338976964757,1778051722036.0
session_2,83.0,0.0,1778051722103.0
session_2,67.0,0.0,1778051723817.0
session_2,66.0,0.0,1778051723900.0
session_2,50.0,0.0,1778051724083.0
session_2,67.0,0.0,1778051724166.0
session_2,67.0,0.0,1778051724316.0
session_2,66.0,0.0,1778051724416.0
session_2,66.0,0.0,1778051724566.0
session_2,83.0,0.0,1778051724649.0
session_2,83.0,0.0,1778051724799.0
session_2,83.0,0.0,1778051724899.0
session_2,67.0,0.0,1778051725065.0
session_2,117.0,1.0,1778051725165.0
session_2,83.0,0.0,1778051725282.0
session_2,83.0,0.0,1778051725531.0
session_2,84.0,0.0,1778051725797.0
session_2,83.0,0.0,1778051725914.0
session_2,83.0,0.0,1778051726064.0
session_2,116.0,0.0,1778051726314.0
session_2,99.0,0.0,1778051726447.0
session_2,66.0,0.0,1778051727995.0
session_2,99.0,0.0,1778051728078.0
session_2,83.0,0.0,1778051728244.0
session_2,82.0,0.0,1778051728345.0
session_2,100.0,0.0,1778051728760.0
session_2,100.0,0.0,1778051728893.0
session_2,99.0,0.0,1778051729077.0
session_2,100.0,0.0,1778051729176.0
session_2,99.0,0.0,1778051729343.0
session_2,100.0,0.0,1778051729442.0
session_2,83.0,0.0,1778051729626.0
session_2,116.0,0.0,1778051729709.0
session_2,100.0,0.0,1778051729875.0
session_2,83.0,0.0,1778051729975.0
session_2,100.0,0.0,1778051730125.0
session_2,83.0,0.0,1778051730225.0
session_2,100.0,0.0,1778051730358.0
session_2,83.0,0.0,1778051730458.0
session_2,83.0,0.0,1778051730624.0
session_2,83.0,0.0,1778051730741.0
session_2,99.0,0.0,1778051730891.0
session_2,100.0,0.0,1778051731007.0
session_2,83.0,0.0,1778051731190.0
session_2,116.0,0.0,1778051731290.0
session_2,116.0,0.0,1778051731590.0
session_2,83.0,0.0,1778051731773.0
