owner_id,auc_inertial,auc_touch,auc_fusion,eer_inertial,eer_fusion,far_at_eer,frr_at_eer,thr_fusion,fusion_w,val_auc_fused,has_touch,retry_attempts,catastrophic,run,seed,elapsed_s
user1,0.9568214048049987,1.0,0.9997712511981787,0.10617059891107083,0.012704174228675091,0.012677512378257726,0.012704174228673983,0.4462261079876479,0.32,1.0,True,0,False,0,42,8.88
user10,0.9878741710855713,0.9111539924987769,0.9930850168696285,0.05719557195571956,0.040590405904059046,0.040604446377126485,0.04059040590405529,0.43873116758183506,0.34,1.0,True,0,False,0,42,6.99
user12,0.9413043358454003,1.0,0.9999958917135863,0.14193548387096777,0.0010871928680147858,0.0010871928680147801,0.0018433179723500604,0.3433048895686366,0.3,1.0,True,0,False,0,42,10.04
user13,0.966691923874871,1.0,0.9957046326452555,0.10198744769874477,0.03601108033240996,0.035983263598326175,0.0360110803324,0.4454287395913185,0.5,0.980735293117678,True,0,False,0,42,6.0
user14,0.9892842499197523,1.0,1.0,0.05355575065847229,0.0,0.0,0.0,0.4858511686325073,0.14,0.9978510346029051,True,0,False,0,42,8.41
user15,0.971422673922549,1.0,1.0,0.09723732869262562,0.0,0.0,0.0,0.1599999964237213,0.0,0.9999999999999999,True,0,False,0,42,7.25
user16,0.9912327815294677,1.0,1.0,0.044938480223900304,0.0,0.0,0.0,0.3938351273536682,0.18,0.9983812845103167,True,0,False,0,42,6.41
user18,0.9995637888161364,1.0,0.9999998175611946,0.009576212898788425,0.00010581450716893285,0.00010581450716893231,0.0017241379310341854,0.5777728478496437,0.48,1.0,True,0,False,0,42,5.91
user19,0.9979161350930201,1.0,1.0,0.019807732938939362,0.0,0.0,0.0,0.4952813386917114,0.34,1.0,True,0,False,0,42,6.83
user2,0.9972590924787323,1.0,0.9972590924787323,0.02255309831399168,0.02255309831399168,0.02255309831399156,0.023083264633139068,0.851828287721646,1.0,0.9878089084422242,True,0,False,0,42,6.73
user20,0.8739689876567156,0.9734840481724065,0.9445631705765472,0.21311475409836067,0.11567716036340588,0.11567716036340528,0.1165755919854068,0.25211539162142244,0.38,1.0,True,0,False,0,42,7.84
user21,0.9891579159939619,1.0,0.9999575962444547,0.04141419463617683,0.004847462985404921,0.004847462985404896,0.00597609561752869,0.5325566471310799,0.5,1.0,True,0,False,0,42,6.17
user22,0.9433966287019983,1.0,0.9997251318130483,0.12407446583456738,0.005923418658768775,0.005923418658768744,0.006980802792319898,0.38531454755156846,0.26,1.0,True,0,False,0,42,7.65
user23,0.9981651669563901,1.0,0.9999999999999999,0.016885553470919357,0.0,0.0,0.0,0.6259855628013611,0.34,1.0,True,0,False,0,42,6.01
user24,0.9896735387505031,0.9437994722955145,0.9861864655228101,0.04691292875989446,0.03578154425612057,0.03572559366754599,0.03578154425611379,0.38898848170179984,0.38,0.9970781276081115,True,0,False,0,42,8.85
user25,0.9986102387215069,1.0,1.0,0.013157894736842146,0.0,0.0,0.0,0.4343344271183014,0.06,1.0,True,0,False,0,42,6.18
user3,0.9475670791196333,1.0,0.9999999999999999,0.11727554853813905,0.0,0.0,0.0,0.6745717525482178,0.16,0.9908699712995211,True,0,False,0,42,9.65
user4,0.9753416276513867,1.0,1.0,0.07559089423810042,0.0,0.0,0.0,0.5376229882240295,0.06,0.9995977661412936,True,0,False,0,42,7.85
user5,0.9934022456294184,1.0,1.0,0.032127399844634336,0.0,0.0,0.0,0.3540903329849243,0.3,1.0,True,0,False,0,42,7.45
user6,0.9981227004456353,1.0,1.0,0.02582655540297877,0.0,0.0,0.0,0.45137205719947815,0.3,1.0,True,0,False,0,42,5.9
user7,0.8919980845477588,1.0,1.0,0.19255813953488377,0.0,0.0,0.0,0.22164253890514374,0.1,1.0,True,0,False,0,42,8.61
user8,0.9987047169782738,1.0,0.9987047169782738,0.014869888475836479,0.014869888475836479,0.015213257267046917,0.014869888475835048,0.7552384338380267,1.0,0.9973281597258409,True,0,False,0,42,7.08
user9,0.9999958700895365,1.0,1.0,0.000892060660124927,0.0,0.0,0.0,0.560664713382721,0.5,1.0,True,0,False,0,42,6.74
user1,0.9970619445635448,1.0,1.0,0.025574084927273696,0.0,0.0,0.0,0.368405282497406,0.14,1.0,True,0,False,1,43,6.66
user10,0.9950623725821087,1.0,1.0,0.027791190514512582,0.0,0.0,0.0,0.40428510308265686,0.3,1.0,True,0,False,1,43,7.87
user12,0.9846598871578934,1.0,0.9999384286817001,0.05179110919292188,0.004230118443316444,0.00410012947777296,0.004230118443316055,0.29370198220455085,0.28,1.0,True,0,False,1,43,7.23
user13,0.9406436038340675,1.0,0.979293982029782,0.14583333333333337,0.09469696969696972,0.0941636268890042,0.09469696969695175,0.15853285070161258,0.24,1.0,True,0,False,1,43,6.36
user14,0.9827362508323496,0.934711233112654,0.9999911631893816,0.06321334503950837,0.0008779631255487752,0.0006458905215565927,0.0008779631255486499,0.3737023046552547,0.3,1.0,True,0,False,1,43,7.1
user15,0.9725785449593801,1.0,0.9997137637218987,0.07937956204379559,0.010036496350364965,0.009988186016539525,0.010036496350364047,0.2582950582433211,0.2,0.9979979494139951,True,0,False,1,43,8.09
user16,0.9843934962746326,1.0,1.0,0.05619385836640903,0.0,0.0,0.0,0.39230871200561523,0.32,1.0,True,0,False,1,43,5.95
user18,0.989836557772902,1.0,1.0,0.029464005851008255,0.0,0.0,0.0,0.5009851455688477,0.44,1.0,True,0,False,1,43,7.0
user19,0.9970741504407968,1.0,0.9999995248855901,0.025500910746812377,0.0001565026866294538,0.00015650268662945302,0.0018214936247719813,0.4318000418481658,0.4,1.0,True,0,False,1,43,6.02
user2,0.9986057109406272,1.0,0.9986057109406272,0.011726560389084031,0.011726560389084031,0.011726560389083969,0.011541632316569534,0.890725431632944,1.0,0.9965318713935822,True,0,False,1,43,8.22
user20,0.9860140773255784,0.6077509662592708,0.9207948181036555,0.05594405594405594,0.09056722030711375,0.0905672203071133,0.09090909090907501,0.131550304365173,0.14,0.9999999999999999,True,0,False,1,43,6.14
