session_id,hold_ms,displacement,timestamp_ms
session_1,86.0,0.0,1778754861794.0
session_1,65.0,0.0,1778754862503.0
session_1,93.0,0.0,1778754862672.0
session_1,92.0,0.0,1778754862869.0
session_1,93.0,0.0,1778754863136.0
session_1,82.0,0.0,1778754863310.0
session_1,87.0,0.0,1778754863617.0
session_1,82.0,0.0,1778754863846.0
session_1,76.0,0.0,1778754864027.0
session_1,76.0,0.0,1778754864223.0
session_1,98.0,0.0,1778754864447.0
session_1,81.0,0.0,1778754864633.0
session_1,87.0,0.0,1778754864900.0
session_1,98.0,0.0,1778754865380.0
session_1,88.0,0.0,1778754865636.0
session_1,93.0,3.7165171868296265,1778754866100.0
session_1,76.0,0.0,1778754866368.0
session_1,77.0,0.0,1778754866806.0
session_1,59.0,0.0,1778754867019.0
session_1,120.0,0.0,1778754867138.0
session_1,98.0,0.0,1778754867384.0
session_1,50.0,0.0,1778754867591.0
session_1,65.0,0.0,1778754867832.0
session_1,59.0,3.4865814202453382,1778754868323.0
session_1,70.0,0.0,1778754868524.0
session_1,65.0,0.0,1778754868819.0
session_1,67.0,0.0,1778754868993.0
session_1,82.0,0.0,1778754869376.0
session_1,64.0,0.0,1778754869595.0
session_1,68.0,0.0,1778754870257.0
session_1,103.0,0.0,1778754870588.0
session_1,88.0,0.0,1778754870718.0
session_1,98.0,0.0,1778754870904.0
session_1,70.0,0.0,1778754871704.0
session_1,81.0,0.0,1778754871971.0
session_1,104.0,0.0,1778754872161.0
session_1,97.0,0.0,1778754872495.0
session_1,50.0,0.0,1778754872680.0
session_1,53.0,0.0,1778754872954.0
session_1,104.0,0.0,1778754873133.0
session_1,96.0,0.0,1778754873721.0
session_1,91.0,0.0,1778754873983.0
session_1,78.0,0.0,1778754874150.0
session_1,64.0,0.0,1778754874403.0
session_1,97.0,0.0,1778754874861.0
session_1,99.0,0.0,1778754875007.0
session_1,86.0,0.0,1778754875276.0
session_1,60.0,0.0,1778754880145.0
session_1,66.0,0.0,1778754880346.0
session_1,65.0,0.0,1778754880619.0
session_1,78.0,0.0,1778754880782.0
session_1,99.0,0.0,1778754883676.0
session_1,109.0,0.0,1778754883818.0
session_1,91.0,0.0,1778754883939.0
session_1,94.0,0.0,1778754884090.0
session_1,93.0,0.0,1778754884255.0
session_1,92.0,0.0,1778754884457.0
session_1,98.0,0.0,1778754884615.0
session_1,87.0,0.0,1778754884718.0
session_1,99.0,0.0,1778754884898.0
session_1,87.0,0.0,1778754885068.0
session_1,80.0,0.0,1778754885292.0
session_1,110.0,0.0,1778754885460.0
session_1,82.0,0.0,1778754885641.0
session_1,86.0,0.0,1778754885745.0
session_1,65.0,0.0,1778754886301.0
session_1,88.0,0.0,1778754886426.0
session_1,98.0,0.0,1778754886585.0
session_1,81.0,0.0,1778754886885.0
session_1,87.0,0.0,1778754887229.0
session_1,109.0,0.0,1778754887556.0
session_1,66.0,0.0,1778754887889.0
