session_id,tap_n,tap_hold_mean,tap_hold_std,tap_hold_median,tap_hold_p25,tap_hold_p75,tap_disp_mean,tap_disp_std,tap_disp_median,tap_disp_p25,tap_disp_p75,tap_iti_mean,tap_iti_std,tap_iti_median,tap_iti_p25,tap_iti_p75,scroll_n,scroll_dur_mean,scroll_dur_std,scroll_traj_mean,scroll_traj_std,scroll_sdist_mean,scroll_sdist_std,scroll_vmean_mean,scroll_vmean_std,scroll_vmax_mean,scroll_vmax_std,scroll_vlast5_mean,scroll_vlast5_std,scroll_mrl_mean,scroll_mrl_std,scroll_afirst5_mean,scroll_afirst5_std,scroll_dir_circmean,scroll_dir_circstd,scroll_frac_up,scroll_frac_down,scroll_frac_left,scroll_frac_right,key_n,key_inter_mean,key_inter_std,key_inter_median,key_inter_p25,key_inter_p75,key_delete_rate,key_typing_speed,key_burst_rate
session_1,302.0,78.52317880794702,16.705606164171314,77.5,70.0,88.75,6.2961662775910465,41.334163889741745,0.0,0.0,0.0,404.7415730337079,536.7398227589912,201.0,153.0,365.0,216.0,212.47685185185185,181.64711775882702,428.4633876087507,177.037328346763,401.4602585354754,169.3072240327496,3325.6177825073596,2114.925362534812,6455.8230516260855,3899.0860799834404,3509.708278008729,2771.584577693421,0.8592399680336958,0.14449532377936677,790.8427651688897,903.4608694432984,-0.9332357974377554,1.8980941698623548,0.5694444444444444,0.4166666666666667,0.0,0.013888888888888888,237.0,239.2882096069869,261.9934911869098,170.0,116.0,249.0,0.12658227848101267,5.882352941176471,0.6331877729257642
session_2,187.0,73.75401069518716,15.311853520912317,75.0,65.0,82.0,3.7142990818165176,41.997579796554746,0.0,0.0,0.0,453.57377049180326,453.31758704229526,245.0,190.0,453.0,129.0,218.46511627906978,103.48681124160447,423.1525835689348,120.91137507087454,412.11005118904933,116.93429657607783,2527.637037851661,1085.4750561762316,4537.00029996183,1761.2036583436022,2315.8684301013463,1629.9144174685948,0.9075299794196682,0.06435720461500621,677.083207912665,347.2831915989985,-1.4266899682468617,1.9959139602057139,0.5736434108527132,0.4263565891472868,0.0,0.0,162.0,266.47058823529414,268.2502991445811,178.0,115.0,285.0,0.012345679012345678,5.617977528089888,0.5555555555555556
session_3,133.0,75.42105263157895,13.335018360746282,76.0,67.0,87.0,0.6873709724212015,7.252748215165648,0.0,0.0,0.0,417.0534351145038,359.75475770906337,229.0,182.5,709.5,105.0,224.54285714285714,128.9338722033917,446.9817993311166,145.22143157424824,435.7088996962994,145.76660229451642,2556.5707923193763,1083.2082092064172,4502.561979003006,1465.4074109372725,1889.0823320248708,1557.1547965351601,0.9142714418367905,0.0808745350261896,731.455419005801,305.47816543531195,-1.099694787545595,1.5814575395877637,0.638095238095238,0.3619047619047619,0.0,0.0,160.0,282.5359477124183,354.84322279007887,190.0,138.0,274.0,0.00625,5.2631578947368425,0.5490196078431373
session_4,122.0,72.77868852459017,17.688799964431492,71.5,60.0,84.0,0.036885245901639344,0.4057377049180328,0.0,0.0,0.0,385.83620689655174,350.37966954004577,213.0,166.75,415.5,96.0,256.6458333333333,104.40705387714738,447.53329902364595,135.56001185881274,422.91081151741395,107.96813883867097,2262.560174269062,1147.3209210949722,4573.778136735851,2095.510136483545,1843.206741581221,1843.6003249812445,0.8980863811939369,0.12794043635895605,758.9718340296031,467.0887990834167,-1.5769114990459294,1.9431692128003433,0.5833333333333334,0.4166666666666667,0.0,0.0,98.0,177.6043956043956,182.84250588607847,135.0,98.5,202.0,0.0,7.407407407407407,0.7362637362637363
session_5,119.0,76.27731092436974,11.689918352503577,76.0,70.0,82.0,0.16958674957365705,1.8421836348347782,0.0,0.0,0.0,389.2782608695652,308.1987937742975,245.0,188.0,675.5,124.0,225.13709677419354,229.69623470299325,429.9912938306588,144.06835260229963,415.78779054488706,138.93861282233487,2719.263044221081,1158.1348786702342,5102.490001557477,1879.1410734492945,2470.789724614174,1743.7355306434793,0.8931547877650852,0.08307896356571136,820.6407328658265,438.17790083421306,-1.4846154634512752,1.8856012018497872,0.5887096774193549,0.4032258064516129,0.0,0.008064516129032258,180.0,214.86705202312137,219.26891060340813,162.0,120.0,236.0,0.016666666666666666,6.172839506172839,0.6011560693641619
session_6,121.0,77.53719008264463,16.395444500495472,77.0,66.0,87.0,0.17853641781464913,1.6937216209672992,0.0,0.0,0.0,402.29059829059827,281.94210655748,256.0,202.0,565.0,107.0,229.81308411214954,89.62894755613814,457.6771602278413,138.83633860760906,440.7795250280867,132.38946072607635,2537.702035956023,1314.0461027132967,4973.897006861288,2213.5992564719704,2031.994519264453,1952.646067342543,0.8910741416854775,0.1305463048897978,791.8462983607129,469.1526637499026,-1.3136008775901802,1.960999662641759,0.5794392523364486,0.4205607476635514,0.0,0.0,177.0,226.9467455621302,208.13477826005266,191.0,120.0,261.0,0.011299435028248588,5.2356020942408374,0.5266272189349113
