duration_ms,disp_y,straight,traj,v_mean,v_max,v_start,peak_ratio,v_last5,mrl,a_first5,direction,session_id
58.0,433.0371,482.37504584941126,488.7191946963419,9449.215216773873,14768.373796914007,9223.197458117857,1.562920506644538,10707.559036760296,0.9118132599813732,2774.957253133478,1.1145638112775629,session_1
83.0,523.8720999999999,531.3104866659634,531.9987607482414,7328.922361376392,25422.743792480356,1008.7464797674397,3.46882380111366,11991.707563285217,0.8665540141254385,1908.6342877475827,1.7383246201305216,session_1
133.0,951.1962800000001,983.692484221894,1009.7480258262043,7996.996918773956,14238.797065984121,591.2741152951372,1.780517790627,9525.210644545015,0.901746917584101,1351.8808728915315,-1.3130428571250319,session_1
74.0,558.1493999999999,565.3031053281954,565.9104899678708,8523.895533169203,36862.69127558325,934.3651720930026,4.324629133183251,13077.613749814922,0.8548772265575292,2156.1335829176514,1.7300534581132943,session_1
91.0,972.33402,1020.4991191915559,1023.3571177051732,12365.954826235882,30501.282065294017,1644.5263088626634,2.466552727010542,19784.801641385122,0.9214013407763086,3554.166814598928,-1.2623369167706822,session_1
125.0,548.4375000000001,548.5716014013469,563.2585564159779,4774.225385717573,12012.19648360053,1580.2541796051476,2.516050876752691,1609.84355862865,0.8645086740859906,2528.0055271532974,1.548684539760475,session_1
108.0,899.78025,917.5735617353535,925.8823214078919,9301.97597412017,18108.44269373991,710.6134039232833,1.9467305438533082,13485.76306534927,0.9097741809133724,1885.5551574641706,-1.3735416707023922,session_1
107.0,811.2305000000001,837.0893813961925,840.0837598970147,9128.447209105794,18499.276203560185,1057.2667498613534,2.0265521345793274,13479.566509238663,0.9263225976564903,2253.8712320792656,-1.3215904196804915,session_1
83.0,491.8799,492.34335027373936,492.8875529865989,6479.215109700467,23994.13794815962,508.70801373971716,3.703247050555451,10987.910079932253,0.878647001294784,1451.2634507506002,1.6141890198427675,session_1
108.0,773.5254000000001,781.006656996213,785.4172319483691,7779.026705580578,17752.05361508937,331.9465564541621,2.2820401580976846,12644.793685936504,0.9053968769375547,1068.3871726472325,-1.4322732265896203,session_1
66.0,519.87306,529.1924468470695,529.4282845532356,8699.475166257262,40000.0,2116.298917863815,4.59797799724406,10362.703413055004,0.8716545968852,9904.166516932863,-1.3828467876264496,session_1
66.0,474.74120999999997,485.750591040571,486.6195411667485,8115.468109810238,19140.76033046775,3858.9019965621796,2.3585525459433745,10462.06487392475,0.8308445640042886,3209.4298214735754,1.784107435215647,session_1
83.0,569.0039600000001,575.7787746215049,576.3443474910637,9174.513271670989,39738.210756176435,1366.5059539698286,4.331369441418806,13859.317662291684,0.8561280580739861,2630.664545051527,1.7243508593782746,session_1
50.0,299.3555,302.132425936,302.14935697573964,6129.191889315535,27515.264449157126,1043.564999140183,4.4892149661535345,6129.191889315535,0.7910686572791027,-48.84556808661364,1.7064812758167653,session_1
82.0,489.02344000000005,494.7635004036612,496.12236078753676,6482.8599697215495,18235.164204537967,1129.8511062578432,2.812826665527149,9938.882475848543,0.8680341369753264,2203.4360788605195,1.723270109614449,session_1
100.0,854.0771000000001,859.3066202303169,865.5341046365751,9349.306837196033,20088.279582642986,958.6952648068253,2.148638159364287,13948.72616218885,0.9004435129154342,2499.691515055026,-1.4604158313002098,session_1
74.0,644.41407,656.9802266421532,657.7799357737481,8993.424639233532,39927.55092149297,1448.956257636968,4.439637633440844,14454.328545598715,0.9074150107568807,3033.2005874873685,-1.3748961816217988,session_1
99.0,728.39354,750.9630032254477,751.5971593214758,9007.635297919393,19436.01736382257,1948.9840637248356,2.157726702210651,13507.464551143998,0.9244015014349036,2950.981020858723,-1.3250086656870228,session_1
91.0,659.8389,667.4027840091112,672.1533738008186,8628.521649172648,12581.270444983142,7641.290709686313,1.4581024998745882,8695.425093157091,0.8703162736072859,2716.398536161627,1.7214932697203877,session_1
100.0,679.83395,682.896265317621,685.4838901282125,7433.29964792045,18012.07073332287,701.9925912418175,2.4231591841185587,12024.349243811095,0.8938403847753347,1513.7216356060517,1.6655345004835955,session_1
91.0,606.709,607.4662538166729,609.4133528168273,7273.4003514464475,20947.40597111566,533.4213052018063,2.8800013857271725,12593.095624183678,0.873521750277517,1533.126244744718,1.620733020025892,session_1
83.0,629.5606000000001,631.2300868443853,633.5491986154449,9295.907758456788,22591.295641719236,3432.6888159192245,2.430240682081481,12813.839123979324,0.8622947069500424,3648.5426929165246,1.643542209578751,session_1
99.0,886.64067,893.0798124908483,898.5390336053069,9797.516728854818,19689.789791036244,1180.349165543473,2.0096712591851245,14337.927602548454,0.9043914260384714,2463.700876523524,-1.4506404089968954,session_1
74.0,505.59086,515.8375356828432,516.1094761342787,7681.599048834798,31131.75258927651,1235.8439237694763,4.052769265694692,11549.052123873993,0.9008109578379171,2367.3634731053894,-1.3711452932415458,session_1
75.0,523.87207,537.4925553444388,537.6632442780217,8120.87989859445,34648.4488285055,1317.337919762267,4.2665874873872855,12203.005085893761,0.9056136313303542,2068.6782903398644,-1.3451924973063312,session_1
99.0,722.6806700000001,739.2904509444573,740.7822702191233,7996.124293000604,16074.081422048845,1018.3529573763772,2.0102338111334084,11774.723349480108,0.9272224151067572,2293.769470996105,-1.3584201067225385,session_1
83.0,620.9911999999999,637.9402387575566,638.352213154204,8571.717697952345,26613.965794911433,1190.9750295507504,3.1048575825603226,13938.398555973026,0.9134036802430412,2297.5024209981166,-1.3397687644105056,session_1
99.0,738.6767600000001,741.2271480628071,744.0346551460907,8107.68316868436,18233.79894375844,814.404106553662,2.248952791499432,12723.227112870703,0.8963326561857873,1755.789341499485,1.653775112794795,session_1
99.0,758.1006,760.2172183860413,763.0296804139979,8986.28103527499,20108.17760934653,1008.7907640099929,2.237652627684437,13778.750557606309,0.889046634032774,2866.330044558041,1.6454357449293078,session_1
82.0,619.2772999999999,619.9936373554973,621.7764878763461,8144.237646465385,22676.310574348412,1360.8903466629972,2.78433768443045,12641.034577162527,0.8799955344566166,2743.2009722446937,1.6188716270341144,session_1
75.0,581.5722999999999,581.9547123789813,583.5743154535126,8808.021898139888,25887.00286080439,2083.235365661013,2.9390253817654477,12842.893817627211,0.8664399936638152,3341.948820130373,1.6070506797966309,session_1
90.0,722.1092999999998,723.9751057837412,727.4134396986435,8784.782248271124,23196.210383319347,840.603476148833,2.6404988862854917,14531.073023219342,0.8821656069724716,2356.9518048414184,1.642605464840688,session_1
90.0,671.2646,671.6839274685534,673.5257174487167,7985.815184554545,26227.389376052233,351.5357864268338,3.284246565401657,14505.551148489878,0.9001849039637243,1158.2299225241752,-1.5354591562641926,session_1
91.0,662.124,681.9432812471665,683.6678432487167,7594.803647707485,22391.184420705413,1018.59881860728,2.948223879262551,10691.203915224118,0.9246525273673968,2395.150999918389,-1.3291154468842117,session_1
108.0,843.2226600000001,858.5242149021283,865.9116279184285,8693.889683362122,17451.44613160615,725.5482985278558,2.007322931377978,12579.320481043751,0.9143134016940847,1886.3336336356738,-1.3817128135686196,session_1
82.0,429.60940000000005,450.958111860009,455.0599115377974,5984.222376795468,19501.205265031866,715.186976898206,3.258769607540067,9897.683109774367,0.8666161065748004,1697.4986920656827,-1.8797270644260176,session_1
116.0,503.30566,529.4340612645658,532.858736989351,5161.242984257632,9656.733433974745,857.966616158665,1.8710089008442257,6538.193408013847,0.9403757080603277,1559.965658667882,1.2553191442050966,session_1
108.0,519.3018000000001,532.3923575201661,537.4400974952197,5716.189207592397,13349.609907995273,461.52876701590577,2.3354033758820627,9241.342794664855,0.8921803652024013,1125.3535346433794,-1.7930106649035331,session_1
250.0,333.0614999999999,368.61203712313585,529.8123053682486,2260.27454044626,6507.314002486212,233.4954411405548,2.8789914707484883,3802.937057350143,0.20178923039586022,273.4869800836558,-2.013595876984591,session_1
375.0,213.09080000000006,234.6919999313827,645.6437136853833,1702.2420803146279,4494.995319240118,310.2298658528788,2.6406306897187104,2275.192440279591,0.08888409611665846,345.31168555010345,-2.003204141052709,session_1
124.0,519.3017,522.0528918864777,524.8976131337191,4395.558006383307,9496.112776360522,468.86633751378173,2.1603879648914055,4832.880426576286,0.9300789914150084,659.5845673375551,1.4680871859806028,session_1
100.0,411.32809999999995,412.5231130990268,414.8699945693285,4368.135943829222,10237.364955361216,286.11945436424395,2.343645606125818,7120.452592655088,0.9158919644158083,754.4535771444753,1.4946617245242064,session_1
83.0,311.9238,312.4088642210967,312.43758428127666,3807.265786261863,16606.59091810163,428.5725735435904,4.361814354072804,6442.2110635594,0.912558002851736,799.9935423546916,1.5150637461265155,session_1
99.0,677.5489,708.3820686229449,712.0053683113479,7109.5738430288775,17322.53599827083,592.0491135060341,2.436508002339412,9593.076174169335,0.8919286687409008,1607.9414289730105,-1.866923516841265,session_1
89.0,598.1395999999999,608.1613608842055,610.3832865119507,7265.1190437624,21715.24187403427,713.066935842592,2.9889722046201124,12493.59558570505,0.9267688695909102,1415.15219727129,1.3890038941677973,session_1
74.0,426.75297,426.9328676066968,427.8597288002922,6460.044996413646,27693.336103973637,733.6111000516734,4.2868636104677655,9895.905334230829,0.8964361346903873,1722.2882929810703,1.5417652498667092,session_1
75.0,413.0419999999999,413.090472979872,413.3054146705791,6541.906166012425,30113.266741601063,728.4791188058942,4.60313269164845,10029.962394336344,0.8875990591569519,1710.6620097023085,1.5861158946480454,session_1
116.0,565.57614,605.0249507882761,606.4527419801635,5949.139438198857,10967.50918544526,756.1421240623808,1.8435451809178922,7066.929765589068,0.88826798437709,1991.1378242553603,-1.9339026201745402,session_1
124.0,515.3027000000002,515.9768413489529,517.8740756227963,4346.118092617341,10492.51872490057,68.01084681505013,2.414227153306495,6560.981027480516,0.8071660881125652,356.7862675903451,1.6219200732453427,session_1
83.0,458.17385,461.93135643428116,462.5582022144132,5910.452677131634,23228.16562475007,422.9354606131148,3.930013987694898,10084.079375769594,0.9123784971193403,1095.5288854045352,1.443160976673835,session_1
115.0,655.26855,666.7863582989203,676.6372620464525,6115.661105047998,15135.89938761589,72.00142272733216,2.474940427974658,10560.649253649788,0.8480308090688632,366.92179442466113,1.3846588982934462,session_1
