owner_id,auc_inertial,auc_touch,auc_fusion,eer_inertial,eer_fusion,far_at_eer,frr_at_eer,thr_fusion,fusion_w,val_auc_fused,has_touch,retry_attempts,catastrophic,run,seed,elapsed_s
user1,0.9837828060491591,1.0,1.0,0.05081669691470059,0.0,0.0,0.0,0.4542016386985779,0.22,1.0,True,0,False,0,42,8.38
user10,0.9953274308521746,0.9111539924987769,0.9979275760306661,0.032287822878228734,0.014785019296624449,0.01478501929662437,0.015682656826566818,0.5400202768117363,0.46,1.0,True,0,False,0,42,7.26
user12,0.9767501049617078,1.0,0.9999961923199093,0.08387096774193548,0.0009216589861751334,0.0008697542944118241,0.0009216589861750302,0.39161824314824983,0.36,1.0,True,0,False,0,42,10.6
user13,0.9851112379605698,1.0,0.9917617554677267,0.06648199445983383,0.049861495844875314,0.05010460251045999,0.049861495844861534,0.5509300726404481,0.8,0.990318268399593,True,0,False,0,42,6.08
user14,0.9938718729085431,1.0,1.0,0.038630377524144,0.0,0.0,0.0,0.4860692620277405,0.16,0.9985557861351895,True,0,False,0,42,9.53
user15,0.9799364456830811,1.0,1.0,0.07869262562540788,0.0,0.0,0.0,0.16344591975212097,0.02,0.9999999999999999,True,0,False,0,42,8.18
user16,0.9867013087513086,1.0,1.0,0.05514705882352944,0.0,0.0,0.0,0.3812473714351654,0.18,0.9968129107255017,True,0,False,0,42,6.22
user18,0.9993847251285737,1.0,0.9999985404895563,0.010344827586206917,0.0007936088037669964,0.0007936088037669923,0.0017241379310341854,0.5291638133715186,0.5,1.0,True,0,False,0,42,6.44
user19,0.998989529009393,1.0,1.0,0.014571948998178486,0.0,0.0,0.0,0.5723626017570496,0.4,1.0,True,0,False,0,42,6.49
user2,0.9971713180923905,1.0,0.9971713180923905,0.021294066126560107,0.021294066126560107,0.021294066126559992,0.02143446001648628,0.9208152329429694,1.0,0.9899028162294002,True,0,False,0,42,7.29
user20,0.9229577565879534,0.9734840481724065,0.9610161205841865,0.14936247723132967,0.09930276780054934,0.09930276780054882,0.10018214936245898,0.24735877194894235,0.4,1.0,True,0,False,0,42,7.22
user21,0.9778084038785583,1.0,0.9999285223823605,0.08282838927235366,0.005976095617529875,0.005953949101638622,0.00597609561752869,0.5170448543212571,0.5,1.0,True,0,False,0,42,6.19
user22,0.9614223699507971,1.0,0.9993685784865894,0.10297228686270361,0.008726003490401424,0.008620689655172369,0.008726003490399873,0.40413294996526644,0.4,1.0,True,0,False,0,42,7.37
user23,0.9977711291216288,1.0,1.0,0.022429807895292378,0.0,0.0,0.0,0.6429820656776428,0.36,1.0,True,0,False,0,42,6.15
user24,0.99333293581583,0.9437994722955145,0.9903348588067518,0.03766478342749524,0.030131826741996215,0.030131926121371874,0.030131826741990556,0.41377398980250757,0.42,0.9967949424548873,True,0,False,0,42,8.08
user25,0.998248117126422,1.0,1.0,0.017256847327035727,0.0,0.0,0.0,0.4313441812992096,0.04,1.0,True,0,False,0,42,6.28
user3,0.9188830633427624,1.0,1.0,0.15375401535362335,0.0,0.0,0.0,0.687326192855835,0.12,0.9896989109136284,True,0,False,0,42,9.04
user4,0.9812074738802276,1.0,0.9999999999999999,0.05630026809651478,0.0,0.0,0.0,0.5414748191833496,0.06,0.9995038230414981,True,0,False,0,42,8.09
user5,0.9990787666494587,1.0,0.9999998859059549,0.0075463322605704135,0.00016646321163022972,0.0001664632116302288,0.0006854009595612964,0.33959705563578985,0.34,1.0,True,0,False,0,42,7.43
user6,0.997518948241066,1.0,1.0,0.01853807964508292,0.0,0.0,0.0,0.35590073466300964,0.28,1.0,True,0,False,0,42,5.81
user7,0.8830400349734286,1.0,1.0,0.1813953488372093,0.0,0.0,0.0,0.2152334749698639,0.1,1.0,True,0,False,0,42,8.55
user8,0.9993897377167389,1.0,0.9993897377167389,0.01115241635687736,0.01115241635687736,0.01108394458027704,0.011152416356876287,0.8185924594065502,1.0,0.9957928731213963,True,0,False,0,42,7.37
user9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.817663311958313,0.5,1.0,True,0,False,0,42,6.3
user1,0.9989268338747259,1.0,1.0,0.014545260802386915,0.0,0.0,0.0,0.3863961398601532,0.12,1.0,True,0,False,1,43,7.26
