session_id,tap_n,tap_hold_mean,tap_hold_std,tap_hold_median,tap_hold_p25,tap_hold_p75,tap_disp_mean,tap_disp_std,tap_disp_median,tap_disp_p25,tap_disp_p75,tap_iti_mean,tap_iti_std,tap_iti_median,tap_iti_p25,tap_iti_p75,scroll_n,scroll_dur_mean,scroll_dur_std,scroll_traj_mean,scroll_traj_std,scroll_sdist_mean,scroll_sdist_std,scroll_vmean_mean,scroll_vmean_std,scroll_vmax_mean,scroll_vmax_std,scroll_vlast5_mean,scroll_vlast5_std,scroll_mrl_mean,scroll_mrl_std,scroll_afirst5_mean,scroll_afirst5_std,scroll_dir_circmean,scroll_dir_circstd,scroll_frac_up,scroll_frac_down,scroll_frac_left,scroll_frac_right,key_n,key_inter_mean,key_inter_std,key_inter_median,key_inter_p25,key_inter_p75,key_delete_rate,key_typing_speed,key_burst_rate
session_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,679.3488372093024,647.9407410357808,595.8815843630576,352.0068330564113,577.7756678971258,357.42895321264734,1772.2373340934275,1717.459404397572,4672.411605877391,2900.3473286378253,1503.0587904196598,2214.146647418408,0.8495385737569128,0.13443649421786738,465.7058315264897,726.3367657143123,-1.5872519245873362,1.605692152022774,0.6511627906976745,0.3488372093023256,0.0,0.0,124.0,133.4214876033058,135.56729609197,112.0,71.0,132.0,0.04838709677419355,8.928571428571429,0.9421487603305785
session_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,100.0,0.0,1369.7731311979226,32.1884986464032,1369.7687313162596,32.188860002253016,13616.828864453231,343.8583282375534,14247.517099229182,392.07504133444934,13561.007799952133,357.05369658183076,0.9999960628931452,2.2074014680409876e-06,-54.87724106282599,119.83620873732292,-3.0965779995860956,3.7816855826767193,0.5,0.5,0.0,0.0,121.0,74.22222222222223,158.2492954365764,53.0,52.0,55.0,0.0,18.867924528301888,0.9829059829059829
session_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,100.0,0.0,1369.6781454046713,32.08590899353232,1369.6735264245244,32.086270524450335,13632.623746017698,342.39037165522046,14226.68682623119,383.5294419053789,13579.524707760993,352.3052539136529,0.9999960654248705,1.8952136638766581e-06,-78.36123721702035,110.46343296535152,-1.6857233294408824,3.1238309771740145,0.5037593984962406,0.49624060150375937,0.0,0.0,123.0,62.30252100840336,67.67415188962954,53.0,52.0,55.0,0.0,18.867924528301888,0.9831932773109243
session_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,100.0,0.0,1369.587689877516,31.985881667756864,1369.5828534838824,31.98643098676476,13596.462722686822,392.0710282956949,14217.156231507093,421.0587228751672,13537.35614728117,414.4558908349718,0.9999957043638561,1.989025064688977e-06,-64.43748822961366,108.9783337288864,-3.095787639624418,3.7822129599301144,0.5,0.5,0.0,0.0,122.0,69.86666666666666,133.157045960358,53.0,51.0,55.0,0.0,18.867924528301888,0.9833333333333333
session_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,99.896,3.2491820509168146,1349.7478102058828,135.69020786744275,1345.7276866183097,156.17359296221582,13433.488570381218,1362.9969211265598,14099.01168110254,930.4237782194284,13393.679367619074,1351.206199727442,0.991042752296395,0.07362522368892874,-86.0702338285246,304.745181205713,1.8293154125325983,3.0844652257624343,0.496,0.504,0.0,0.0,125.0,67.29508196721312,92.8812646343451,53.0,51.0,55.75,0.0,18.867924528301888,0.9754098360655737
session_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,208.0,343.9608653947087,1127.978526741318,450.17188736723114,1119.4640683432808,465.0421801115047,10686.485058954137,5263.995872242008,11605.671244968069,4880.067981072308,10592.01169226595,5315.242212054316,0.9387572779733021,0.14830366515057747,-3.1039968175743105,220.15612157125807,-2.022855959448825,1.8243286097434896,0.5846153846153846,0.4,0.015384615384615385,0.0,128.0,77.12,155.75409336515045,53.0,51.0,55.0,0.0,18.867924528301888,0.976
