session_id,tap_n,tap_hold_mean,tap_hold_std,tap_hold_median,tap_hold_p25,tap_hold_p75,tap_disp_mean,tap_disp_std,tap_disp_median,tap_disp_p25,tap_disp_p75,tap_iti_mean,tap_iti_std,tap_iti_median,tap_iti_p25,tap_iti_p75,scroll_n,scroll_dur_mean,scroll_dur_std,scroll_traj_mean,scroll_traj_std,scroll_sdist_mean,scroll_sdist_std,scroll_vmean_mean,scroll_vmean_std,scroll_vmax_mean,scroll_vmax_std,scroll_vlast5_mean,scroll_vlast5_std,scroll_mrl_mean,scroll_mrl_std,scroll_afirst5_mean,scroll_afirst5_std,scroll_dir_circmean,scroll_dir_circstd,scroll_frac_up,scroll_frac_down,scroll_frac_left,scroll_frac_right,key_n,key_inter_mean,key_inter_std,key_inter_median,key_inter_p25,key_inter_p75,key_delete_rate,key_typing_speed,key_burst_rate
session_1,112.0,74.49107142857143,14.051560370721852,73.0,65.75,85.25,2.104577144709529,3.9727824100643123,0.0,0.0,2.7371385764317586,909.3168316831683,826.018518368076,671.0,398.0,1236.0,81.0,213.34567901234567,141.4409234521893,215.74913651956066,164.20875021567875,210.44549241952694,161.8067176478703,1613.3766130306058,1536.0979530771194,4645.496017539721,4170.308954933027,2386.248901241539,2404.7641934101944,0.7686988111576601,0.14720147421280116,464.20422816514224,597.0638412108494,-1.33871412032896,1.5096940525113383,0.654320987654321,0.30864197530864196,0.037037037037037035,0.0,192.0,158.92592592592592,197.45434088733978,113.0,56.0,166.0,0.3854166666666667,8.849557522123893,0.8271604938271605
session_2,124.0,76.4274193548387,18.853926341787826,77.0,64.75,88.0,2.52683913162785,4.742291932296062,0.0,0.0,2.9777201904967416,1244.2727272727273,1162.293820692442,1052.0,492.75,1567.25,89.0,216.87640449438203,96.58748380365738,194.87252876580428,119.4083604087905,184.88157821237502,118.5167055244935,1217.3674824016664,909.1580377356631,3666.50364234852,3055.4218850188117,1759.7433203856237,1635.5307983197774,0.7148562785049809,0.15991552308609142,309.94210129848886,344.6636458194034,-1.4299401940734704,1.4382770692204219,0.6741573033707865,0.29213483146067415,0.011235955056179775,0.02247191011235955,152.0,161.29323308270676,97.04272231449832,147.0,90.0,208.0,0.1513157894736842,6.802721088435374,0.7142857142857143
session_3,137.0,77.68613138686132,16.77187070894681,78.0,66.0,88.0,7.499134550462234,56.436005599503495,0.0,0.0,1.2065157576467953,953.479674796748,920.9899353244854,684.0,306.5,1258.0,62.0,165.5,156.35987749522758,246.76870463750853,173.70366070356917,238.73271461639317,167.24716994385312,1964.8970672182475,1607.123113862139,5065.921690040772,3981.6705307227144,2854.9696938098955,2367.1760390119416,0.7417937600152106,0.11394548705197588,513.4429286916619,598.4409887073059,1.985109048134731,1.9764725159075482,0.43548387096774194,0.5645161290322581,0.0,0.0,108.0,111.5,61.22712338741607,111.0,60.75,158.0,0.0,9.00900900900901,0.9468085106382979
session_4,104.0,65.70192307692308,15.287551375907324,66.0,55.0,78.0,7.812237144153396,52.09845752026207,0.0,0.0,3.682905989600273,356.3235294117647,378.0310746062226,200.0,177.0,291.75,38.0,300.2894736842105,444.67385492922534,270.47857264123206,239.9500640931523,252.34236541012916,210.26981057789882,1321.7020539871075,1224.9207779645583,5177.439660911875,4702.5560179805625,1777.772893666328,2234.336379020919,0.7274103808404067,0.1623821939953119,464.44566944783304,749.8008505018714,-1.3731395701066662,1.1480444916713197,0.7368421052631579,0.21052631578947367,0.05263157894736842,0.0,126.0,103.99122807017544,75.72532261045018,91.0,58.0,144.0,0.0,10.989010989010989,0.9473684210526315
session_5,111.0,82.32432432432432,12.902379249937901,83.0,73.0,92.0,9.42644907524946,32.372776367418155,0.0,0.0,2.416992000000466,447.77,673.7279845011635,242.0,158.75,437.25,25.0,189.4,106.79325821417756,170.16829345017945,146.11967175747398,162.48775847826957,141.32692186600525,1146.6119038868912,1048.8203945534349,3740.8623477194315,3397.0611426357186,1524.8233418196282,1733.0471110362755,0.7300686576920917,0.17753028482356992,293.9315962447752,360.9132220213865,-1.2793385924590925,1.124766489745743,0.76,0.24,0.0,0.0,139.0,109.02439024390245,94.90281408137042,114.0,52.5,140.5,0.0,8.771929824561404,0.959349593495935
session_6,138.0,77.14492753623189,17.959515956744102,77.0,66.0,89.0,7.5450693797492505,60.79470327117362,0.0,0.0,3.070694981431642,1140.3577235772357,1518.5150541218939,629.0,289.5,1232.0,75.0,172.06666666666666,80.62015187835414,240.8506358058703,138.4715445486853,233.18131935388567,137.20283057396452,1815.932176282409,1296.2370439087208,6187.504036336309,4582.35683723707,2954.0220255254217,2199.0306381180517,0.7616522690763752,0.18003681713297714,346.9317613707291,431.760528876456,-0.5995000891725025,1.8594485554577687,0.5466666666666666,0.41333333333333333,0.0,0.04,131.0,220.43103448275863,379.56073123023833,144.0,88.0,191.0,0.04580152671755725,6.944444444444445,0.7758620689655172
