session_id,tap_n,tap_hold_mean,tap_hold_std,tap_hold_median,tap_hold_p25,tap_hold_p75,tap_disp_mean,tap_disp_std,tap_disp_median,tap_disp_p25,tap_disp_p75,tap_iti_mean,tap_iti_std,tap_iti_median,tap_iti_p25,tap_iti_p75,scroll_n,scroll_dur_mean,scroll_dur_std,scroll_traj_mean,scroll_traj_std,scroll_sdist_mean,scroll_sdist_std,scroll_vmean_mean,scroll_vmean_std,scroll_vmax_mean,scroll_vmax_std,scroll_vlast5_mean,scroll_vlast5_std,scroll_mrl_mean,scroll_mrl_std,scroll_afirst5_mean,scroll_afirst5_std,scroll_dir_circmean,scroll_dir_circstd,scroll_frac_up,scroll_frac_down,scroll_frac_left,scroll_frac_right,key_n,key_inter_mean,key_inter_std,key_inter_median,key_inter_p25,key_inter_p75,key_delete_rate,key_typing_speed,key_burst_rate
session_1,138.0,63.608695652173914,18.496546791934243,58.5,49.0,74.0,7.4416827063758735,21.22666558173375,3.8643284505408246,1.0,9.035978686529308,422.9850746268657,590.5183150201593,250.0,209.0,347.25,81.0,304.5308641975309,204.1349158331718,402.29925663852623,248.25216559931755,369.4910642056319,183.03708830292243,2321.0236786748383,2612.2745471463877,8037.888529505812,7437.224195094051,3023.0055066508135,4140.879982196266,0.7363061536522449,0.15379682014865598,494.5499885660315,960.5723900324492,-1.8030614116966244,1.3955986336930086,0.6790123456790124,0.30864197530864196,0.0,0.012345679012345678,149.0,226.40650406504065,229.43475390437376,183.0,142.5,224.0,0.040268456375838924,5.46448087431694,0.6504065040650406
session_2,127.0,71.90551181102362,14.544762875353252,73.0,64.0,82.0,5.739347418560372,5.474066406254862,4.47213595499958,2.118033988749895,7.713011390885281,461.5217391304348,510.78894386975935,302.0,275.0,391.5,121.0,249.54545454545453,203.19924676114704,434.03216963639494,174.9584923694148,413.6199983566542,175.94946405598992,4130.028931320949,3849.144296657125,12713.80261124991,9348.722170368072,6139.504433273759,5003.263296558799,0.7976560153947201,0.1438839856222981,902.045978003978,1366.4587114233952,-1.9762487577968482,2.072913559691532,0.5454545454545454,0.4297520661157025,0.0,0.024793388429752067,137.0,196.45045045045046,101.92390190272532,181.0,142.0,217.5,0.0,5.524861878453039,0.6126126126126126
session_3,118.0,62.601694915254235,13.408282180263338,65.0,53.5,73.0,4.050148509557985,4.949416205911439,2.23606797749979,0.0,5.385164807134504,409.9913793103448,459.29337584826703,278.5,232.75,384.0,109.0,230.37614678899084,223.79220329741696,543.3069547570328,195.8838900315359,519.3204448197841,197.82294557006378,5423.9528593434425,4187.7035980246965,17650.39960635767,11283.064765773193,8324.734401566317,6181.190816700448,0.8121711418762659,0.13170114314019019,1238.0632834025614,1682.1581472677678,-1.3982002036254888,1.6400730182186947,0.6422018348623854,0.3577981651376147,0.0,0.0,152.0,241.08064516129033,186.64532506153404,203.0,157.0,268.25,0.02631578947368421,4.926108374384237,0.5
session_4,137.0,65.95620437956204,16.138030801433302,67.0,55.0,77.0,5.152007657103183,5.520260068872558,3.605551275463989,1.0,7.0710678118654755,884.5413533834586,1292.919779630807,397.0,333.0,571.0,110.0,244.34545454545454,265.79617742526756,458.44154998947624,192.25725182321102,434.8270238759236,190.95084502640415,4881.2743965669315,4083.211990324283,14470.382089459314,10391.354805493445,7009.3549612907545,5427.475764494927,0.7854092131009441,0.1610231678727433,1162.1342033457993,1583.1855477540962,-1.9740984958614092,1.6969240157370276,0.6090909090909091,0.38181818181818183,0.00909090909090909,0.0,136.0,195.99137931034483,134.67153500081898,175.0,123.0,217.5,0.0661764705882353,5.714285714285714,0.6724137931034483
session_5,138.0,60.528985507246375,17.141014474985838,59.0,49.25,72.0,6.1186846886010615,6.070398764475016,4.2976207903086205,1.4142135623730951,9.178504627504019,692.3555555555556,854.8742984631361,392.0,318.0,533.5,73.0,293.06849315068496,194.98460274772543,448.80327386239486,228.8101812579343,400.745323249333,196.86966588543396,3212.806947552521,3698.6460844450125,9787.785851550227,9698.31358606254,4356.459372321501,5183.380002710549,0.7619002889446203,0.18029780324127173,620.34318447176,1276.0001191202448,-1.738361396772534,1.3002582667069753,0.726027397260274,0.273972602739726,0.0,0.0,152.0,207.65322580645162,139.20958001162683,175.0,133.0,260.0,0.05263157894736842,5.714285714285714,0.6129032258064516
session_6,127.0,71.77165354330708,13.97308378612756,74.0,62.0,82.0,6.571692014243125,5.348027277509814,5.656854249492381,2.118033988749895,10.12395732415323,843.8067226890756,965.2197144161855,424.0,311.0,974.0,96.0,386.625,323.59025177169144,428.1399009686463,205.13108168324703,388.9294223092961,201.32427662353714,2276.23239654658,2942.042696282614,6915.194053473238,8502.432592801195,2892.415541693988,4714.126972002551,0.8038384823760412,0.17230834366838033,518.8807491666067,624.4719370476374,-0.9984306591145824,1.3408838105882608,0.6770833333333334,0.2916666666666667,0.0,0.03125,135.0,326.23636363636365,237.71571743166163,255.0,184.0,383.75,0.022222222222222223,3.9215686274509802,0.2909090909090909
