session_id,hold_ms,displacement,timestamp_ms
session_1,33.0,0.0,1777562091394.0
session_1,39.0,27.202941017470888,1777562091577.0
session_1,50.0,0.0,1777562091749.0
session_1,66.0,623.6184731067545,1777562092145.0
session_1,33.0,0.0,1777562092351.0
session_1,28.0,0.0,1777562092556.0
session_1,39.0,0.0,1777562093035.0
session_1,22.0,0.0,1777562093280.0
session_1,50.0,0.0,1777562093497.0
session_1,66.0,1.0,1777562093748.0
session_1,44.0,0.0,1777562094104.0
session_1,38.0,0.0,1777562094471.0
session_1,60.0,0.0,1777562094727.0
session_1,50.0,0.0,1777562095450.0
session_1,50.0,0.0,1777562095639.0
session_1,61.0,0.0,1777562095834.0
session_1,49.0,0.0,1777562096046.0
session_1,44.0,0.0,1777562096274.0
session_1,44.0,0.0,1777562096485.0
session_1,49.0,0.0,1777562096686.0
session_1,50.0,0.0,1777562097542.0
session_1,61.0,0.0,1777562097910.0
session_1,56.0,0.0,1777562098093.0
session_1,39.0,14.035668847618199,1777562098449.0
session_1,61.0,0.0,1777562098616.0
session_1,72.0,2.23606797749979,1777562098956.0
session_1,55.0,0.0,1777562099162.0
session_1,50.0,0.0,1777562099362.0
session_1,66.0,0.0,1777562099535.0
session_1,61.0,0.0,1777562099735.0
session_1,55.0,0.0,1777562099924.0
session_1,61.0,0.0,1777562100102.0
session_1,55.0,0.0,1777562100809.0
session_1,50.0,0.0,1777562100987.0
session_1,55.0,4.0,1777562101160.0
session_1,50.0,0.0,1777562101716.0
session_1,67.0,0.0,1777562101899.0
session_1,61.0,1.0,1777562102078.0
session_1,60.0,1.0,1777562102618.0
session_1,55.0,0.0,1777562102801.0
session_1,77.0,0.0,1777562102963.0
session_1,72.0,9.899494936611665,1777562103135.0
session_1,77.0,23.08679276123039,1777562103319.0
session_1,66.0,0.0,1777562103508.0
session_1,56.0,0.0,1777562104281.0
session_1,61.0,0.0,1777562104459.0
session_1,45.0,3.0,1777562104654.0
session_1,55.0,0.0,1777562104827.0
session_1,55.0,0.0,1777562105005.0
session_1,55.0,30.870698080866262,1777562105183.0
session_1,61.0,0.0,1777562105544.0
session_1,33.0,0.0,1777562105756.0
session_1,55.0,0.0,1777562105934.0
session_1,61.0,0.0,1777562106095.0
session_1,61.0,0.0,1777562106279.0
session_1,61.0,0.0,1777562106440.0
session_1,67.0,0.0,1777562106646.0
session_1,83.0,0.0,1777562107014.0
session_1,56.0,0.0,1777562107208.0
session_1,72.0,0.0,1777562107398.0
session_1,77.0,0.0,1777562107576.0
session_1,72.0,5.0,1777562107754.0
session_1,55.0,0.0,1777562107960.0
session_1,50.0,0.0,1777562108143.0
session_1,50.0,0.0,1777562108332.0
