session_id,tap_n,tap_hold_mean,tap_hold_std,tap_hold_median,tap_hold_p25,tap_hold_p75,tap_disp_mean,tap_disp_std,tap_disp_median,tap_disp_p25,tap_disp_p75,tap_iti_mean,tap_iti_std,tap_iti_median,tap_iti_p25,tap_iti_p75,scroll_n,scroll_dur_mean,scroll_dur_std,scroll_traj_mean,scroll_traj_std,scroll_sdist_mean,scroll_sdist_std,scroll_vmean_mean,scroll_vmean_std,scroll_vmax_mean,scroll_vmax_std,scroll_vlast5_mean,scroll_vlast5_std,scroll_mrl_mean,scroll_mrl_std,scroll_afirst5_mean,scroll_afirst5_std,scroll_dir_circmean,scroll_dir_circstd,scroll_frac_up,scroll_frac_down,scroll_frac_left,scroll_frac_right,key_n,key_inter_mean,key_inter_std,key_inter_median,key_inter_p25,key_inter_p75,key_delete_rate,key_typing_speed,key_burst_rate
session_1,99.0,72.57575757575758,22.853106196093286,70.0,57.0,86.5,9.933427091674575,33.587154736848376,0.0,0.0,0.0,1562.3023255813953,1815.6688182145037,808.5,225.0,2510.5,114.0,82.67543859649123,18.201357002637405,1064.230190063917,266.1836890575856,1031.218039609834,250.55137600324088,12908.04175328856,2866.3205709838044,21027.063167176235,4570.496954780346,14788.2675066715,3775.3845172913498,0.8568029515951906,0.059863532203705494,3504.7988440407403,918.1012397969052,-0.23408500648348998,2.4053641029460744,0.5087719298245614,0.49122807017543857,0.0,0.0,126.0,204.72357723577235,152.43142138221293,170.0,124.5,220.5,0.03968253968253968,5.882352941176471,0.6666666666666666
session_2,105.0,76.88571428571429,16.808339362020376,79.0,66.0,90.0,1.011526066902883,8.253492694567322,0.0,0.0,0.0,425.8390804597701,372.2938486425548,226.0,132.0,763.0,119.0,109.00840336134453,36.25736570738393,956.021718770916,313.00264120851847,894.0417530998818,303.54102300468594,9077.643504196178,2974.049816950779,14217.923039225048,5109.66909338924,9130.299502042448,4343.367894947345,0.8454549119161584,0.1756221699212094,2327.079233973758,792.4120272297764,0.4624981794981229,2.3686981699405547,0.4789915966386555,0.5126050420168067,0.0,0.008403361344537815,148.0,261.67164179104475,289.4567422150025,161.0,107.0,288.75,0.1554054054054054,6.211180124223603,0.6791044776119403
session_3,110.0,74.93636363636364,16.915446019824213,78.0,65.25,86.75,4.797026622974486,28.635209392653042,0.0,0.0,0.0,648.8061224489796,856.9810639939183,213.0,133.0,815.5,101.0,101.62376237623762,45.77708611922888,700.0360764916018,271.82352686040053,631.1826573782696,210.58381788821313,7384.342479783252,1663.4206138683594,12464.040490878357,2550.5484763356276,7693.142424625638,2824.027483467487,0.810632520134414,0.1801246558452888,2247.7292993975148,919.0564520907761,1.0647469637363434,2.109522345522505,0.45544554455445546,0.5445544554455446,0.0,0.0,152.0,230.15602836879432,261.4128628721362,148.0,98.0,203.0,0.15789473684210525,6.756756756756757,0.7446808510638298
session_4,117.0,80.19658119658119,22.256561239920085,82.0,70.0,91.0,20.366290471919935,81.99228537400674,0.0,0.0,0.0,421.6019417475728,796.5419599599334,206.0,142.0,282.5,114.0,110.69298245614036,48.25137525409999,1015.1641710245535,435.51629547164464,905.3669232159693,314.0406463032866,9270.244479573597,2225.27095334243,15443.424647210351,3535.4307983976983,10205.257902069405,3196.560593482152,0.8113846355142533,0.2060595820204201,2274.266093151476,991.6301117858736,-0.8308483224538454,2.3213602652209326,0.5263157894736842,0.47368421052631576,0.0,0.0,133.0,175.3953488372093,165.8867839661911,144.0,99.0,198.0,0.015037593984962405,6.944444444444445,0.751937984496124
session_5,123.0,86.46341463414635,19.47869074702718,86.0,74.0,98.5,1.2915617654283145,3.6163848886531564,0.0,0.0,0.0,266.35135135135135,338.4938193548253,153.0,126.0,229.0,116.0,160.1293103448276,84.46500297229962,1196.303713633313,505.43114128019585,1164.0086112171975,494.74620760030166,9618.520343705626,4557.902462992048,16131.983471509828,7328.197094265846,10483.381490324624,5859.573463371484,0.8588225931233071,0.11568327645708926,2115.997243346251,1378.1488831606175,-1.0114495870641413,1.9267262197754853,0.5689655172413793,0.4224137931034483,0.008620689655172414,0.0,135.0,187.74045801526717,166.6206363412169,153.0,103.0,199.0,0.1259259259259259,6.5359477124183005,0.7480916030534351
session_6,101.0,74.86138613861387,17.61470453627883,74.0,65.0,87.0,1.2742510777864546,5.084768341177525,0.0,0.0,0.0,330.340206185567,285.1781098942275,206.0,153.0,395.0,101.0,134.20792079207922,97.22845576542075,382.1200687872659,190.68440716538962,358.91775248852184,181.93556388374375,4513.223534316915,3114.372891722502,8370.806625276331,5099.236844196963,4945.0428406429155,3982.1789404811248,0.7792499072861976,0.1785220929217254,1555.4186582860752,1220.6282549699324,0.6978530858278653,1.9626331441185545,0.45544554455445546,0.5247524752475248,0.019801980198019802,0.0,126.0,151.41803278688525,132.34603427973462,126.0,94.25,177.0,0.007936507936507936,7.936507936507937,0.8524590163934426
