owner_id,auc_val,auc_test,eer_test,far_at_eer,frr_at_eer,thr,n_train_pos,n_train_neg,n_val,n_test,run,seed
user1,1.0,1.0,0.0,0.0,0.0,0.5697461366653442,4,92,24,24,0,42
user10,1.0,1.0,0.0,0.0,0.0,0.45989274978637695,4,92,24,24,0,42
user12,1.0,1.0,0.0,0.0,0.0,0.3475742042064667,4,92,24,24,0,42
user13,1.0,1.0,0.0,0.0,0.0,0.30511346459388733,4,92,24,24,0,42
user14,1.0,1.0,0.0,0.0,0.0,0.3845139145851135,4,92,24,24,0,42
user15,0.9565217391304348,1.0,0.0,0.0,0.0,0.16164368391036987,4,92,24,24,0,42
user16,0.8695652173913043,1.0,0.0,0.0,0.0,0.39699265360832214,4,92,24,24,0,42
user17,1.0,1.0,0.0,0.0,0.0,0.8484693765640259,4,92,24,24,0,42
user18,1.0,1.0,0.0,0.0,0.0,0.5123128294944763,4,92,24,24,0,42
user19,0.9130434782608696,1.0,0.0,0.0,0.0,0.5954759120941162,4,92,24,24,0,42
user2,0.6086956521739131,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.13472836237886676,4,92,24,24,0,42
user20,0.9565217391304348,0.6956521739130435,0.30434782608695654,0.30434782608563327,0.9999999999,0.019834159508995388,4,92,24,24,0,42
user21,1.0,1.0,0.0,0.0,0.0,0.44939449429512024,4,92,24,24,0,42
user22,1.0,1.0,0.0,0.0,0.0,0.6130101084709167,4,92,24,24,0,42
user23,1.0,1.0,0.0,0.0,0.0,0.26722779870033264,4,92,24,24,0,42
user24,0.5652173913043479,1.0,0.0,0.0,0.0,0.4261011481285095,4,92,24,24,0,42
user25,1.0,1.0,0.0,0.0,0.0,0.18877708911895752,4,92,24,24,0,42
user3,1.0,1.0,0.0,0.0,0.0,0.685742199420929,4,92,24,24,0,42
user4,0.9130434782608696,1.0,0.0,0.0,0.0,0.5787791013717651,4,92,24,24,0,42
user5,1.0,1.0,0.0,0.0,0.0,0.41003134846687317,4,92,24,24,0,42
user6,1.0,1.0,0.0,0.0,0.0,0.41351231932640076,4,92,24,24,0,42
user7,1.0,1.0,0.0,0.0,0.0,0.28313279151916504,4,92,24,24,0,42
user8,1.0,1.0,0.0,0.0,0.0,0.6272451877593994,4,92,24,24,0,42
user9,1.0,1.0,0.0,0.0,0.0,0.7221184968948364,4,92,24,24,0,42
user1,1.0,1.0,0.0,0.0,0.0,0.4119814336299896,4,92,24,24,1,43
user10,1.0,1.0,0.0,0.0,0.0,0.4732046127319336,4,92,24,24,1,43
user12,1.0,1.0,0.0,0.0,0.0,0.31753554940223694,4,92,24,24,1,43
user13,1.0,0.8695652173913043,0.13043478260869565,0.13043478260812855,0.9999999999,0.07860286501438721,4,92,24,24,1,43
user14,1.0,1.0,0.0,0.0,0.0,0.33087655901908875,4,92,24,24,1,43
user15,1.0,1.0,0.0,0.0,0.0,0.2689879834651947,4,92,24,24,1,43
user16,1.0,1.0,0.0,0.0,0.0,0.44567957520484924,4,92,24,24,1,43
user17,1.0,1.0,0.0,0.0,0.0,0.8606934547424316,4,92,24,24,1,43
user18,1.0,1.0,0.0,0.0,0.0,0.5156458616256714,4,92,24,24,1,43
user19,1.0,1.0,0.0,0.0,0.0,0.5933579802513123,4,92,24,24,1,43
user2,1.0,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.13251497369745502,4,92,24,24,1,43
user20,0.9130434782608696,1.0,0.0,0.0,0.0,0.5072206854820251,4,92,24,24,1,43
user21,1.0,1.0,0.0,0.0,0.0,0.726267397403717,4,92,24,24,1,43
user22,1.0,1.0,0.0,0.0,0.0,0.5685631632804871,4,92,24,24,1,43
user23,1.0,1.0,0.0,0.0,0.0,0.37453222274780273,4,92,24,24,1,43
user24,0.9565217391304347,0.6956521739130435,0.30434782608695654,0.30434782608563327,0.9999999999,0.014838709495961666,4,92,24,24,1,43
user25,0.9565217391304348,1.0,0.0,0.0,0.0,0.24123726785182953,4,92,24,24,1,43
user3,1.0,1.0,0.0,0.0,0.0,0.6446616649627686,4,92,24,24,1,43
user4,1.0,0.9130434782608696,0.08695652173913043,0.08695652173875237,0.9999999999,0.24696492371351822,4,92,24,24,1,43
user5,1.0,1.0,0.0,0.0,0.0,0.4163655936717987,4,92,24,24,1,43
user6,1.0,1.0,0.0,0.0,0.0,0.5102123618125916,4,92,24,24,1,43
user7,1.0,1.0,0.0,0.0,0.0,0.39575907588005066,4,92,24,24,1,43
user8,1.0,0.6086956521739131,0.391304347826087,0.39130434782438567,0.9999999999,0.016522088209572044,4,92,24,24,1,43
user9,1.0,1.0,0.0,0.0,0.0,0.6435224413871765,4,92,24,24,1,43
user1,1.0,1.0,0.0,0.0,0.0,0.544219434261322,4,92,24,24,2,44
user10,1.0,1.0,0.0,0.0,0.0,0.4532598853111267,4,92,24,24,2,44
user12,1.0,1.0,0.0,0.0,0.0,0.21375717222690582,4,92,24,24,2,44
user13,1.0,1.0,0.0,0.0,0.0,0.19550184905529022,4,92,24,24,2,44
user14,1.0,1.0,0.0,0.0,0.0,0.3838428556919098,4,92,24,24,2,44
user15,0.7391304347826088,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.1565140602381333,4,92,24,24,2,44
user16,0.4347826086956522,1.0,0.0,0.0,0.0,0.4446345567703247,4,92,24,24,2,44
user17,1.0,1.0,0.0,0.0,0.0,0.8902777433395386,4,92,24,24,2,44
user18,0.9565217391304348,1.0,0.0,0.0,0.0,0.6299079060554504,4,92,24,24,2,44
user19,1.0,1.0,0.0,0.0,0.0,0.5347353219985962,4,92,24,24,2,44
user2,0.6956521739130435,1.0,0.0,0.0,0.0,0.13831768929958344,4,92,24,24,2,44
user20,0.9130434782608696,1.0,0.0,0.0,0.0,0.3919428288936615,4,92,24,24,2,44
user21,1.0,1.0,0.0,0.0,0.0,0.5769837498664856,4,92,24,24,2,44
user22,1.0,1.0,0.0,0.0,0.0,0.4899740517139435,4,92,24,24,2,44
user23,1.0,1.0,0.0,0.0,0.0,0.1579425185918808,4,92,24,24,2,44
user24,1.0,0.6521739130434783,0.34782608695652173,0.3478260869550095,0.9999999999,0.014303416094702223,4,92,24,24,2,44
