owner_id,auc_inertial,auc_touch,auc_fusion,eer_inertial,eer_fusion,far_at_eer,frr_at_eer,thr_fusion,fusion_w,val_auc_fused,has_touch,retry_attempts,catastrophic,run,seed,elapsed_s
user1,0.9985557144221839,1.0,1.0,0.015997156061144685,0.0,0.0,0.0,0.505113959312439,0.4,1.0,True,0,False,0,42,4.73
user10,0.9846194935899996,1.0,0.9995062702184593,0.05205479452054795,0.01567055393586006,0.015670553935859772,0.01643835616437906,0.18786876372254452,0.24,1.0,True,0,False,0,42,4.05
user12,0.8122535520203326,1.0,1.0,0.27348066298342544,0.0,0.0,0.0,0.35329312086105347,0.28,1.0,True,0,False,0,42,4.41
user13,0.9596497830159976,1.0,1.0,0.13068181818181823,0.0,0.0,0.0,0.30933496356010437,0.18,1.0,True,0,False,0,42,3.72
user14,0.9791515114494774,1.0,1.0,0.07070707070707072,0.0,0.0,0.0,0.3374370336532593,0.14,1.0,True,0,False,0,42,4.99
user15,0.9728535708265439,0.6963111760409058,0.805869547947833,0.07692307692307687,0.19284149013878743,0.1928414901387839,0.19363395225459054,0.043663997731019845,0.02,1.0,True,0,False,0,42,4.26
user16,0.9871197346928674,1.0,0.9999316933128742,0.050220264317180616,0.0014096916299559472,0.0014096916299559223,0.005617977528086732,0.24838263044273276,0.4,1.0,True,0,False,0,42,3.59
user18,0.9918011744697237,0.9394634662901518,0.9942154251553973,0.04412283798093893,0.047476173667490296,0.047476173667489456,0.04812834224596357,0.2555592237503925,0.24,1.0,True,0,False,0,42,4.51
user19,0.9779736866555054,1.0,1.0,0.0670103092783505,0.0,0.0,0.0,0.3726241886615753,0.2,0.9928657846466066,True,0,False,0,42,3.78
user2,0.982910171026908,0.8709031318281136,0.989681289127676,0.06554989075018208,0.04934450109249818,0.04934450109249728,0.049861495844861534,0.10811210283161686,0.18,0.9876123143145252,True,0,False,0,42,4.02
user20,0.9709751335219154,0.6880977683315621,0.9231562339033577,0.10144927536231885,0.1259298618490967,0.12592986184909447,0.13043478260863264,0.13775287751468665,0.24,0.9986672093159685,True,0,False,0,42,3.86
user21,0.9781317668911537,1.0,1.0,0.06932773109243698,0.0,0.0,0.0,0.5263350009918213,0.4,1.0,True,0,False,0,42,4.13
user3,0.9958024823623708,1.0,0.9980731535049084,0.02564102564102566,0.018755803156917362,0.018755803156917016,0.01923076923076512,0.3666727472812684,0.5,1.0,True,0,False,0,42,4.84
user4,0.982378548585009,0.925287356321839,0.9971383519007241,0.06753812636165579,0.030501089324618702,0.030404152762327948,0.030501089324612093,0.31240914194820607,0.3,1.0,True,0,False,0,42,4.02
user5,0.9829964601863561,1.0,1.0,0.061224489795918324,0.0,0.0,0.0,0.4163752794265747,0.4,1.0,True,0,False,0,42,6.6
user6,0.999457936242003,1.0,1.0,0.003173483779971791,0.0,0.0,0.0,0.5888447761535645,0.5,1.0,True,0,False,0,42,3.63
user7,0.9882314041952875,1.0,1.0,0.04489192684278589,0.0,0.0,0.0,0.36227089166641235,0.32,1.0,True,0,False,0,42,4.05
user8,0.999416153403571,1.0,1.0,0.008966148215919487,0.0,0.0,0.0,0.4752214252948761,0.06,1.0,True,0,False,0,42,4.8
user9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.6820303797721863,0.5,1.0,True,0,False,0,42,4.16
user1,0.9995521109512004,1.0,0.9999968679087496,0.008810572687224627,0.0007109847138286527,0.0007109847138286401,0.004405286343610394,0.4995095219173086,0.42,1.0,True,0,False,1,43,4.82
user10,0.9847942210152164,1.0,0.9995007787850954,0.05753424657534245,0.01293731778425656,0.012937317784256323,0.013698630136982548,0.21481868248356847,0.24,1.0,True,0,False,1,43,3.95
user12,0.8505253699926852,1.0,1.0,0.24033149171270718,0.0,0.0,0.0,0.39354613423347473,0.32,1.0,True,0,False,1,43,4.45
user13,0.9490142640959532,1.0,1.0,0.11661088603135458,0.0,0.0,0.0,0.3234618902206421,0.18,0.9999999999999999,True,0,False,1,43,4.67
user14,0.9790492426556198,1.0,1.0,0.0732323232323232,0.0,0.0,0.0,0.30538222193717957,0.1,1.0,True,0,False,1,43,4.32
user15,0.9782203703452539,0.6018991964937911,0.7595151158757869,0.07427055702917773,0.23721694667640614,0.2372169466764018,0.23872679045086506,0.048922545128278136,0.02,1.0,True,0,False,1,43,4.21
user16,0.9911201306736623,1.0,0.999918823937039,0.0449438202247191,0.004757709251101322,0.004757709251101238,0.005617977528086732,0.23177883747390712,0.36,1.0,True,0,False,1,43,4.05
user18,0.9950582421461348,0.9394634662901518,0.9975036383645008,0.03265090010589481,0.03208556149732622,0.02947405577126669,0.03208556149730905,0.3247604049917379,0.26,1.0,True,0,False,1,43,3.75
user19,0.9944983176146746,1.0,1.0,0.04123711340206182,0.0,0.0,0.0,0.4423954486846924,0.2,0.9485062248760879,True,0,False,1,43,3.62
user2,0.9762916294262317,0.9670429715950474,0.9949455566696863,0.07202216066481992,0.03605243991260015,0.03605243991259949,0.0387811634348923,0.10071056064568291,0.14,0.981504823683458,True,0,False,1,43,4.03
user20,0.9782651477425769,0.8064116188452002,0.8981785232074009,0.09178743961352653,0.1159420289855072,0.1158342189160447,0.11594202898545124,0.06007170370852115,0.08,1.0,True,0,False,1,43,4.61
user21,0.9748116445159625,1.0,0.9999950334743827,0.07457983193277311,0.00017507002801120448,0.00017507002801120142,0.0070921985815552546,0.4521937066016077,0.4,1.0,True,0,False,1,43,3.92
user3,0.9917448356863399,1.0,0.9953975509685816,0.04512534818941504,0.038461538461538436,0.03806870937790087,0.03846153846153024,0.2953541461419274,0.5,1.0,True,0,False,1,43,4.15
user4,0.9886485266046434,0.925287356321839,0.9966710368900166,0.048201705598813496,0.02614379084967322,0.025954764553206788,0.026143790849667507,0.3143310616998111,0.36,1.0,True,0,False,1,43,4.39
user5,0.9771695247972148,1.0,0.9999560830295303,0.06997084548104959,0.0030852994555353903,0.0030852994555353344,0.0058309037900857634,0.34483689514348814,0.4,1.0,True,0,False,1,43,4.4
user6,0.9995529069812746,1.0,1.0,0.004231311706629055,0.0,0.0,0.0,0.5475452542304993,0.5,1.0,True,0,False,1,43,3.7
user7,0.9738168214567624,1.0,0.9999802663621248,0.07426565675226307,0.002272727272727315,0.0016626639571401872,0.002272727272726756,0.3294359463453291,0.3,1.0,True,0,False,1,43,3.94
