owner_id,auc_val,auc_test,eer_test,far_at_eer,frr_at_eer,thr,n_train_pos,n_train_neg,n_val,n_test,run,seed
user1,0.9130434782608696,1.0,0.0,0.0,0.0,0.605215311050415,4,92,24,24,0,42
user10,0.9565217391304348,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.48961202994636865,4,92,24,24,0,42
user12,1.0,1.0,0.0,0.0,0.0,0.46032917499542236,4,92,24,24,0,42
user13,0.9565217391304348,1.0,0.0,0.0,0.0,0.41383230686187744,4,92,24,24,0,42
user14,1.0,1.0,0.0,0.0,0.0,0.44413504004478455,4,92,24,24,0,42
user15,0.9130434782608696,0.9130434782608696,0.08695652173913043,0.08695652173875237,0.9999999999,0.21377892533074255,4,92,24,24,0,42
user16,0.8695652173913043,1.0,0.0,0.0,0.0,0.43479466438293457,4,92,24,24,0,42
user17,1.0,1.0,0.0,0.0,0.0,0.8464491367340088,4,92,24,24,0,42
user18,1.0,1.0,0.0,0.0,0.0,0.5893308520317078,4,92,24,24,0,42
user19,0.9130434782608696,1.0,0.0,0.0,0.0,0.7180583477020264,4,92,24,24,0,42
user2,0.5652173913043479,0.9565217391304348,0.043478260869565216,0.04347826086937619,0.9999999999,0.23819029849508533,4,92,24,24,0,42
user20,0.9565217391304348,0.6521739130434783,0.34782608695652173,0.3478260869550095,0.9999999999,0.05470513552427292,4,92,24,24,0,42
user21,1.0,1.0,0.0,0.0,0.0,0.6840568780899048,4,92,24,24,0,42
user22,1.0,1.0,0.0,0.0,0.0,0.6873853802680969,4,92,24,24,0,42
user23,1.0,0.9130434782608695,0.08695652173913043,0.08695652173875237,0.9999999999,0.32279511508734327,4,92,24,24,0,42
user24,0.5652173913043479,1.0,0.0,0.0,0.0,0.5733538866043091,4,92,24,24,0,42
user25,0.9565217391304348,0.9130434782608696,0.08695652173913043,0.08695652173875237,0.9999999999,0.25101768452188244,4,92,24,24,0,42
user3,1.0,1.0,0.0,0.0,0.0,0.6944825649261475,4,92,24,24,0,42
user4,0.8695652173913043,1.0,0.0,0.0,0.0,0.6315297484397888,4,92,24,24,0,42
user5,1.0,1.0,0.0,0.0,0.0,0.449714720249176,4,92,24,24,0,42
